trial,direction,elapsed_s,pulse_us,average_tick,signed_speed_mps,distance_m,clearance_m,result
1,forward,2.329,1420.00,1145.1667,0.005125,0.002171,1.659,continue
1,forward,2.631,1419.50,1144.7778,-0.001964,0.000995,1.660,continue
1,forward,2.951,1419.00,1144.3684,0.008128,0.002771,1.660,continue
1,forward,3.252,1418.50,1143.9412,-0.001869,0.002373,1.660,continue
1,forward,3.558,1418.00,1143.5556,-0.001990,0.001033,1.660,continue
1,forward,3.867,1417.50,1143.1176,-0.006808,0.003182,1.660,continue
1,forward,4.168,1417.00,1142.7647,-0.001586,0.003185,1.660,continue
1,forward,4.472,1416.50,1142.3333,0.000720,0.000885,1.658,continue
1,forward,4.786,1416.00,1141.9444,0.004111,0.001836,1.660,continue
1,forward,5.092,1415.50,1141.5263,0.007160,0.002734,1.660,continue
1,forward,5.392,1415.00,1141.1250,0.006874,0.002504,1.660,continue
1,forward,5.706,1414.50,1140.7368,0.001111,0.003192,1.659,continue
1,forward,6.027,1414.00,1140.3333,-0.000568,0.002030,1.660,continue
1,forward,6.345,1413.50,1139.8947,-0.001023,0.002600,1.661,continue
1,forward,6.655,1413.00,1139.5000,-0.003500,0.003901,1.661,continue
1,forward,6.968,1412.50,1139.1176,-0.003854,0.001495,1.660,continue
1,forward,7.271,1412.00,1138.7222,0.011208,0.007093,1.666,continue
1,forward,7.572,1411.50,1138.2941,0.002031,0.006179,1.665,continue
1,forward,7.879,1411.00,1137.8824,-0.006185,0.004301,1.664,continue
1,forward,8.186,1410.50,1137.5000,-0.008222,0.002777,1.666,continue
1,forward,8.487,1410.00,1137.1176,0.002894,0.005243,1.666,continue
1,forward,8.789,1409.50,1136.7059,0.002952,0.005781,1.665,continue
1,forward,9.099,1409.00,1136.2941,0.007976,0.007323,1.665,continue
1,forward,9.405,1408.50,1135.8824,0.008091,0.007945,1.666,continue
1,forward,9.722,1408.00,1135.5000,-0.008411,0.003817,1.666,continue
1,forward,10.024,1407.50,1135.0556,-0.002187,0.003917,1.665,continue
1,forward,10.342,1407.00,1134.6667,-0.003358,0.004889,1.666,continue
1,forward,10.652,1406.50,1134.2941,0.000885,0.006139,1.666,continue
1,forward,10.967,1406.00,1133.8889,0.000272,0.007405,1.666,continue
1,forward,11.275,1405.50,1133.4444,-0.006935,0.002986,1.666,continue
1,forward,11.586,1405.00,1133.0556,-0.000705,0.005211,1.666,continue
1,forward,11.887,1404.50,1132.6471,-0.005452,0.003228,1.666,continue
1,forward,12.196,1404.00,1132.2632,0.007551,0.006855,1.664,continue
1,forward,12.497,1403.50,1131.8824,0.013290,0.010207,1.665,continue
1,forward,12.801,1403.00,1131.4444,-0.013361,0.002402,1.664,continue
1,forward,13.104,1402.50,1131.0667,-0.000575,0.006105,1.666,continue
1,forward,13.419,1402.00,1130.6667,-0.008291,0.001958,1.665,continue
1,forward,13.739,1401.50,1130.2353,-0.006903,0.001702,1.665,continue
1,forward,14.052,1401.00,1129.8333,0.003291,0.005808,1.666,continue
1,forward,14.357,1400.50,1129.4118,0.001549,0.004907,1.666,continue
1,forward,14.675,1400.00,1129.0556,0.002889,0.005531,1.666,continue
1,forward,14.979,1399.50,1128.6111,0.002171,0.005514,1.665,continue
1,forward,15.282,1399.00,1128.2105,0.005023,0.006505,1.666,continue
1,forward,15.584,1398.50,1127.8125,0.001748,0.005724,1.666,continue
1,forward,15.886,1398.00,1127.4444,-0.000553,0.004566,1.670,continue
1,forward,16.008,1397.50,1127.0000,0.056872,0.028621,1.685,breakaway
2,reverse,18.331,1580.00,1274.1765,-0.003804,0.002041,1.356,continue
2,reverse,18.638,1580.50,1274.6111,-0.003154,0.001792,1.357,continue
2,reverse,18.958,1581.00,1275.0000,-0.006778,0.004064,1.357,continue
2,reverse,19.262,1581.50,1275.3889,-0.000990,0.003305,1.357,continue
2,reverse,19.580,1582.00,1275.8333,0.004152,0.001286,1.356,continue
2,reverse,19.881,1582.50,1276.2222,0.000732,0.002009,1.357,continue
2,reverse,20.188,1583.00,1276.6111,0.000358,0.001560,1.357,continue
2,reverse,20.488,1583.50,1277.0000,-0.004573,0.003981,1.357,continue
2,reverse,20.789,1584.00,1277.4444,0.000223,0.002334,1.356,continue
2,reverse,21.107,1584.50,1277.8421,0.007042,0.001027,1.357,continue
2,reverse,21.412,1585.00,1278.2222,0.000455,0.000934,1.357,continue
2,reverse,21.717,1585.50,1278.6111,0.000932,0.001978,1.357,continue
2,reverse,22.031,1586.00,1279.0556,-0.003674,0.002748,1.358,continue
2,reverse,22.352,1586.50,1279.4211,0.000309,0.000933,1.357,continue
2,reverse,22.654,1587.00,1279.8333,-0.003845,0.002408,1.356,continue
2,reverse,22.974,1587.50,1280.2632,-0.002806,0.002542,1.357,continue
2,reverse,23.277,1588.00,1280.6667,0.002878,0.001183,1.356,continue
2,reverse,23.586,1588.50,1281.0526,-0.001998,0.002313,1.357,continue
2,reverse,23.905,1589.00,1281.4737,-0.002701,0.002644,1.357,continue
2,reverse,24.207,1589.50,1281.8333,0.001848,0.001857,1.357,continue
2,reverse,24.528,1590.00,1282.2632,0.003578,0.001064,1.357,continue
2,reverse,24.848,1590.50,1282.6842,0.003772,0.001697,1.357,continue
2,reverse,25.152,1591.00,1283.0556,-0.002453,0.001286,1.357,continue
2,reverse,25.453,1591.50,1283.4375,0.000221,0.000874,1.357,continue
2,reverse,25.766,1592.00,1283.8824,0.000106,0.001061,1.358,continue
2,reverse,26.069,1592.50,1284.2632,0.001067,0.000791,1.356,continue
2,reverse,26.381,1593.00,1284.6842,-0.000383,0.001347,1.357,continue
2,reverse,26.702,1593.50,1285.1053,0.007100,0.002723,1.357,continue
2,reverse,27.002,1594.00,1285.4706,-0.003477,0.002395,1.357,continue
2,reverse,27.306,1594.50,1285.8889,-0.018009,0.008486,1.360,continue
2,reverse,27.623,1595.00,1286.2778,-0.032747,0.021977,1.376,continue
2,reverse,27.883,1595.50,1286.6875,-0.076524,0.051220,1.399,breakaway
3,reverse,30.225,1580.00,1274.1765,0.004146,0.001652,1.421,continue
3,reverse,30.545,1580.50,1274.5789,0.000502,0.002421,1.420,continue
3,reverse,30.849,1581.00,1275.0000,-0.008375,0.003192,1.421,continue
3,reverse,31.166,1581.50,1275.4118,-0.005609,0.003851,1.421,continue
3,reverse,31.483,1582.00,1275.8235,0.003857,0.003968,1.420,continue
3,reverse,31.801,1582.50,1276.2222,-0.000665,0.001418,1.421,continue
3,reverse,32.103,1583.00,1276.6000,0.000231,0.001399,1.421,continue
3,reverse,32.421,1583.50,1277.0000,-0.003088,0.003690,1.421,continue
3,reverse,32.741,1584.00,1277.4211,0.001274,0.002829,1.421,continue
3,reverse,33.049,1584.50,1277.8333,0.004123,0.001023,1.421,continue
3,reverse,33.349,1585.00,1278.2353,0.003605,0.001427,1.420,continue
3,reverse,33.664,1585.50,1278.6471,-0.006275,0.004410,1.420,continue
3,reverse,33.965,1586.00,1279.0588,-0.006052,0.004287,1.421,continue
3,reverse,34.277,1586.50,1279.4118,0.010666,0.002125,1.421,continue
3,reverse,34.594,1587.00,1279.8421,-0.006411,0.002785,1.421,continue
3,reverse,34.910,1587.50,1280.2222,-0.007960,0.003191,1.421,continue
3,reverse,35.221,1588.00,1280.6667,0.008964,0.004249,1.420,continue
3,reverse,35.534,1588.50,1281.0526,-0.008257,0.004257,1.421,continue
3,reverse,35.837,1589.00,1281.4444,0.001769,0.001564,1.421,continue
3,reverse,36.138,1589.50,1281.8824,0.006978,0.003686,1.422,continue
