variant,pass_index,from_direction,phase,elapsed_s,time_since_flip_s,esc_pulse_us,signed_speed_mps,raw_ds_m,fresh_odom,leg_motion_m,front_clearance_m,rear_clearance_m
immediate,1,forward,cruise,3.0320,,1421.74,0.004589,,0,0.000000,1.123,1.926
immediate,1,forward,cruise,3.0531,,1421.74,0.004589,,0,0.000000,1.123,1.926
immediate,1,forward,cruise,3.0743,,1421.74,0.004589,,0,0.000000,1.119,1.923
immediate,1,forward,cruise,3.0907,,1421.74,0.004589,,0,0.000000,1.119,1.923
immediate,1,forward,cruise,3.1119,,1420.50,-0.005627,-0.0035611,1,0.003561,1.119,1.923
immediate,1,forward,cruise,3.1153,,1420.50,-0.005627,,0,0.003561,1.119,1.923
immediate,1,forward,cruise,3.1363,,1420.50,-0.005627,,0,0.003561,1.119,1.923
immediate,1,forward,cruise,3.1572,,1420.50,-0.005627,,0,0.003561,1.119,1.923
immediate,1,forward,cruise,3.1784,,1420.50,-0.005627,,0,0.003561,1.106,1.927
immediate,1,forward,cruise,3.1900,,1419.26,-0.003221,0.0004018,1,0.003963,1.106,1.927
immediate,1,forward,cruise,3.2097,,1419.26,-0.003221,,0,0.003963,1.106,1.927
immediate,1,forward,cruise,3.2307,,1419.26,-0.003221,,0,0.003963,1.106,1.927
immediate,1,forward,cruise,3.2516,,1419.26,-0.003221,,0,0.003963,1.106,1.927
immediate,1,forward,cruise,3.2725,,1419.26,-0.003221,,0,0.003963,1.062,1.923
immediate,1,forward,cruise,3.2895,,1418.02,0.003638,0.0024114,1,0.006374,1.062,1.923
immediate,1,forward,cruise,3.3006,,1418.02,0.003638,,0,0.006374,1.062,1.923
immediate,1,forward,cruise,3.3216,,1418.02,0.003638,,0,0.006374,1.062,1.923
immediate,1,forward,cruise,3.3425,,1418.02,0.003638,,0,0.006374,1.062,1.923
immediate,1,forward,cruise,3.3634,,1418.02,0.003638,,0,0.006374,1.062,1.923
immediate,1,forward,cruise,3.3845,,1418.02,0.003638,,0,0.006374,0.997,1.914
immediate,1,forward,cruise,3.3898,,1416.78,0.007535,0.0019285,1,0.008303,0.997,1.914
immediate,1,forward,cruise,3.4080,,1416.78,0.007535,,0,0.008303,0.997,1.914
immediate,1,forward,cruise,3.4291,,1416.78,0.007535,,0,0.008303,0.997,1.914
immediate,1,forward,cruise,3.4500,,1416.78,0.007535,,0,0.008303,0.997,1.914
immediate,1,forward,cruise,3.4709,,1416.78,0.007535,,0,0.008303,0.926,1.918
immediate,1,forward,cruise,3.4909,,1413.68,0.013911,0.0032698,1,0.011573,0.926,1.918
immediate,1,forward,cruise,3.5053,,1413.68,0.013911,,0,0.011573,0.926,1.918
immediate,1,forward,cruise,3.5264,,1413.68,0.013911,,0,0.011573,0.926,1.918
immediate,1,forward,cruise,3.5474,,1413.68,0.013911,,0,0.011573,0.926,1.918
immediate,1,forward,cruise,3.5684,,1413.68,0.013911,,0,0.011573,2.163,1.918
immediate,1,forward,cruise,3.5887,,1410.58,0.022823,0.0050142,1,0.016587,2.163,1.918
