elapsed_s,pulse_us,speed_mps,distance_m,front_range_m
1.530,1499.0,0.011768,0.001215,0.782
3.037,1498.0,0.011916,0.001143,0.781
4.545,1497.0,0.009931,0.000953,0.781
6.088,1496.0,0.007670,0.001814,0.781
7.627,1495.0,0.013131,0.002938,0.781
9.128,1494.0,0.011909,0.001420,0.781
10.632,1493.0,0.009682,0.000927,0.782
12.181,1492.0,0.014772,0.002157,0.781
13.723,1491.0,0.010171,0.000914,0.781
15.236,1490.0,0.013273,0.001318,0.781
16.781,1489.0,0.008707,0.001547,0.782
18.316,1488.0,0.008552,0.002112,0.781
19.826,1487.0,0.015457,0.001191,0.781
21.376,1486.0,0.008269,0.001892,0.781
22.909,1485.0,0.014811,0.001649,0.781
24.412,1484.0,0.015742,0.002478,0.781
25.925,1483.0,0.024883,0.003062,0.782
27.471,1482.0,0.019144,0.002712,0.780
29.005,1481.0,0.008947,0.002879,0.781
30.516,1480.0,0.012658,0.002050,0.781
32.062,1479.0,0.012576,0.001708,0.781
33.600,1478.0,0.013325,0.002995,0.780
35.108,1477.0,0.014936,0.002093,0.782
36.613,1476.0,0.009883,0.001061,0.781
38.154,1475.0,0.011281,0.003403,0.781
39.689,1474.0,0.017957,0.003356,0.782
41.192,1473.0,0.006777,0.002483,0.781
42.705,1472.0,0.015607,0.001844,0.782
44.248,1471.0,0.013449,0.002130,0.782
45.787,1470.0,0.014920,0.001033,0.782
47.298,1469.0,0.011447,0.002205,0.781
48.839,1468.0,0.010881,0.001043,0.781
50.352,1467.0,0.019154,0.001662,0.782
51.879,1466.0,0.016355,0.001928,0.782
53.395,1465.0,0.012033,0.001804,0.781
54.943,1464.0,0.010111,0.002586,0.781
56.474,1463.0,0.014618,0.001584,0.782
57.987,1462.0,0.012068,0.003075,0.781
59.533,1461.0,0.009586,0.001440,0.781
61.070,1460.0,0.010687,0.002570,0.781
62.571,1459.0,0.008533,0.001112,0.781
64.087,1458.0,0.015334,0.001090,0.782
65.628,1457.0,0.014740,0.002590,0.781
67.168,1456.0,0.010313,0.001049,0.781
68.680,1455.0,0.013136,0.002866,0.781
70.226,1454.0,0.012500,0.003289,0.781
71.759,1453.0,0.017679,0.001302,0.781
73.262,1452.0,0.010868,0.000596,0.781
74.770,1451.0,0.007196,0.001921,0.783
76.278,1450.0,0.014654,0.001367,0.782
77.822,1449.0,0.009725,0.001765,0.781
79.353,1448.0,0.009332,0.002840,0.780
80.857,1447.0,0.013940,0.002572,0.781
82.365,1446.0,0.011758,0.001336,0.782
83.913,1445.0,0.014684,0.002169,0.780
85.452,1444.0,0.011089,0.002140,0.781
86.961,1443.0,0.012114,0.000856,0.782
88.510,1442.0,0.011136,0.002389,0.781
90.015,1441.0,0.011652,0.003063,0.781
91.543,1440.0,0.015129,0.002596,0.781
93.044,1439.0,0.011570,0.003281,0.783
94.559,1438.0,0.010814,0.001231,0.781
96.098,1437.0,0.009013,0.002352,0.781
97.639,1436.0,0.010057,0.001119,0.782
99.140,1435.0,0.008875,0.001861,0.781
100.648,1434.0,0.009388,0.002936,0.781
102.149,1433.0,0.008695,0.001425,0.780
103.699,1432.0,0.014496,0.000833,0.781
105.237,1431.0,0.012005,0.003206,0.781
106.739,1430.0,0.008452,0.001572,0.781
108.252,1429.0,0.012242,0.001340,0.781
109.794,1428.0,0.018676,0.001252,0.781
111.328,1427.0,0.015528,0.001830,0.782
112.842,1426.0,0.009200,0.003051,0.782
114.383,1425.0,0.007298,0.000858,0.781
115.891,1424.0,0.012630,0.001243,0.781
117.427,1423.0,0.010285,0.002929,0.782
118.933,1422.0,0.012139,0.000993,0.781
120.483,1421.0,0.011695,0.001111,0.780
122.019,1420.0,0.009920,0.002228,0.783
123.525,1419.0,0.013108,0.000382,0.780
125.075,1418.0,0.010823,0.002287,0.779
126.577,1417.0,0.013996,0.002313,0.779
128.114,1416.0,0.012006,0.001509,0.779
129.626,1415.0,0.009721,0.002913,0.780
131.166,1414.0,0.007520,0.000931,0.779
132.667,1413.0,0.012010,0.002679,0.779
134.179,1412.0,0.013871,0.008824,0.791
135.707,1411.0,0.008597,0.009995,0.790
137.220,1410.0,0.011052,0.009906,0.791
138.770,1409.0,0.011175,0.009845,0.791
140.299,1408.0,0.011332,0.011082,0.791
141.808,1407.0,0.006561,0.011074,0.791
143.309,1406.0,0.011152,0.011396,0.791
144.857,1405.0,0.007345,0.010326,0.791
146.395,1404.0,0.015441,0.009985,0.790
147.899,1403.0,0.166361,0.127101,0.899
149.400,1402.0,0.376235,0.620506,1.383
