segment,direction,phase,step,elapsed_s,pulse_us,result,signed_speed_mps,distance_m,next_seed_us
1,forward,startup,1,0.218,1420.75,continue,0.003755,0.006219,1420.75
1,forward,startup,2,0.408,1420.13,breakaway,0.037515,0.019882,1420.75
1,forward,traction_recovery,1,0.100,1409.82,continue,0.006350,0.256529,1420.75
1,forward,traction_recovery,2,0.200,1406.72,continue,0.001958,0.255489,1420.75
1,forward,traction_recovery,3,0.300,1403.62,continue,0.004681,0.256857,1420.75
1,forward,traction_recovery,4,0.400,1400.52,continue,0.005934,0.257693,1420.75
1,forward,traction_recovery,5,0.500,1397.42,continue,-0.000074,0.255846,1420.75
1,forward,traction_recovery,6,0.600,1394.32,continue,0.000023,0.255845,1420.75
1,forward,traction_recovery,7,0.700,1391.22,continue,0.006271,0.258373,1420.75
1,forward,traction_recovery,8,0.800,1388.12,continue,0.011190,0.261005,1420.75
1,forward,traction_recovery,9,0.900,1385.02,continue,0.021016,0.266063,1420.75
1,forward,traction_recovery,10,1.000,1381.92,continue,0.039352,0.275721,1420.75
1,forward,traction_recovery,11,1.100,1380.00,continue,0.088157,0.299052,1420.75
1,forward,traction_recovery,11,1.200,1380.00,recovered,0.166226,0.339344,1420.75
1,forward,traction_recovery,1,0.100,1409.92,continue,0.010710,0.545540,1420.75
1,forward,traction_recovery,2,0.200,1406.82,continue,0.013789,0.547853,1420.75
1,forward,traction_recovery,3,0.300,1403.72,continue,0.014822,0.549707,1420.75
1,forward,traction_recovery,4,0.400,1400.62,continue,0.016464,0.551896,1420.75
1,forward,traction_recovery,5,0.500,1397.52,continue,0.024028,0.556574,1420.75
1,forward,traction_recovery,6,0.600,1394.42,continue,0.041660,0.565784,1420.75
1,forward,traction_recovery,7,0.700,1391.32,continue,0.092017,0.590189,1420.75
1,forward,traction_recovery,7,0.800,1391.32,recovered,0.159036,0.626404,1420.75
2,reverse,startup,1,0.213,1597.50,continue,0.000304,0.001433,1597.50
2,reverse,startup,2,0.263,1598.12,breakaway,-0.021822,0.010327,1597.38
3,forward,startup,1,0.206,1420.75,continue,-0.001406,0.003732,1420.75
3,forward,startup,2,0.423,1420.13,continue,0.019854,0.012237,1420.75
3,forward,startup,3,0.562,1419.51,breakaway,0.035944,0.021924,1420.75
3,forward,traction_recovery,1,0.100,1409.71,continue,0.006165,0.632817,1420.75
3,forward,traction_recovery,2,0.200,1406.61,continue,0.008015,0.634156,1420.75
3,forward,traction_recovery,3,0.300,1403.51,continue,0.006287,0.634258,1420.75
3,forward,traction_recovery,4,0.400,1400.41,continue,0.003658,0.633923,1420.75
3,forward,traction_recovery,5,0.500,1397.31,continue,0.000983,0.633290,1420.75
3,forward,traction_recovery,6,0.600,1394.21,continue,0.004146,0.634662,1420.75
3,forward,traction_recovery,7,0.700,1391.11,continue,0.012282,0.638251,1420.75
3,forward,traction_recovery,8,0.800,1388.01,continue,0.020631,0.642756,1420.75
3,forward,traction_recovery,9,0.900,1384.91,continue,0.051498,0.657239,1420.75
3,forward,traction_recovery,10,1.000,1381.81,continue,0.113569,0.686379,1420.75
3,forward,traction_recovery,10,1.100,1381.81,recovered,0.189320,0.728359,1420.75
4,reverse,startup,1,0.200,1597.38,continue,-0.000915,0.003778,1597.38
4,reverse,startup,2,0.344,1597.99,breakaway,-0.024726,0.011670,1597.18
