mode,pass_index,direction,phase,elapsed_s,esc_pulse_us,esc_tick,signed_speed_mps,raw_ds_m,raw_dyaw_rad,fresh_odom,leg_motion_m,clearance_m,controller_state,recovery_count
decay,1,forward,closed_loop,3.0352,1423.384,1148,-0.000704,,,0,0.000000,1.307,startup,0
decay,1,forward,closed_loop,3.0570,1423.384,1148,-0.000704,,,0,0.000000,1.307,startup,0
decay,1,forward,closed_loop,3.0786,1423.384,1148,-0.000704,,,0,0.000000,1.307,startup,0
decay,1,forward,closed_loop,3.0883,1422.144,1147,0.001362,0.0007602,0.0001820,1,0.000760,1.307,startup,0
decay,1,forward,closed_loop,3.1072,1422.144,1147,0.001362,,,0,0.000760,1.307,startup,0
decay,1,forward,closed_loop,3.1288,1422.144,1147,0.001362,,,0,0.000760,1.307,startup,0
decay,1,forward,closed_loop,3.1504,1422.144,1147,0.001362,,,0,0.000760,1.307,startup,0
decay,1,forward,closed_loop,3.1719,1422.144,1147,0.001362,,,0,0.000760,1.307,startup,0
decay,1,forward,closed_loop,3.1870,1420.904,1146,0.000452,-0.0002299,0.0008072,1,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.1958,1420.904,1146,0.000452,,,0,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.2175,1420.904,1146,0.000452,,,0,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.2391,1420.904,1146,0.000452,,,0,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.2607,1420.904,1146,0.000452,,,0,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.2823,1420.904,1146,0.000452,,,0,0.000990,1.307,startup,0
decay,1,forward,closed_loop,3.2868,1419.664,1145,0.001411,0.0004206,0.0009677,1,0.001411,1.307,startup,0
decay,1,forward,closed_loop,3.2987,1419.664,1145,0.001411,,,0,0.001411,1.307,startup,0
decay,1,forward,closed_loop,3.3204,1419.664,1145,0.001411,,,0,0.001411,1.307,startup,0
decay,1,forward,closed_loop,3.3420,1419.664,1145,0.001411,,,0,0.001411,1.307,startup,0
decay,1,forward,closed_loop,3.3636,1419.664,1145,0.001411,,,0,0.001411,1.308,startup,0
decay,1,forward,closed_loop,3.3843,1418.424,1144,-0.004411,-0.0022091,-0.0032661,1,0.003620,1.308,startup,0
decay,1,forward,closed_loop,3.4003,1418.424,1144,-0.004411,,,0,0.003620,1.308,startup,0
decay,1,forward,closed_loop,3.4219,1418.424,1144,-0.004411,,,0,0.003620,1.308,startup,0
decay,1,forward,closed_loop,3.4434,1418.424,1144,-0.004411,,,0,0.003620,1.308,startup,0
