trial,direction,phase,elapsed_s,pulse_us,tick,signed_speed_mps,acceleration_mps2,distance_m,clearance_m
1,forward,kick,4.5397,1401.00,1130,-0.003426,0.000000,0.001202,1.672
1,forward,kick,4.5514,1401.00,1130,-0.000171,0.277370,0.002032,1.672
1,forward,kick,4.5726,1401.00,1130,-0.000171,0.000000,0.002032,1.672
1,forward,kick,4.5935,1401.00,1129,-0.000171,0.000000,0.002032,1.672
1,forward,kick,4.6145,1401.00,1130,-0.000171,0.000000,0.002032,1.672
1,forward,kick,4.6356,1401.00,1130,-0.000171,0.000000,0.002032,1.672
1,forward,kick,4.6400,1401.00,1130,-0.000171,0.000000,0.002032,1.673
1,forward,kick,4.6521,1401.00,1130,0.003390,0.294296,0.002411,1.673
1,forward,kick,4.6731,1401.00,1130,0.003390,0.000000,0.002411,1.673
1,forward,kick,4.6940,1401.00,1129,0.003390,0.000000,0.002411,1.673
1,forward,kick,4.7149,1401.00,1130,0.003390,0.000000,0.002411,1.673
1,forward,kick,4.7357,1401.00,1130,0.003390,0.000000,0.002411,1.673
1,forward,kick,4.7407,1401.00,1130,0.003390,0.000000,0.002411,1.684
1,forward,kick,4.7533,1401.00,1130,0.029743,2.082746,0.012876,1.684
1,forward,kick,4.7743,1401.00,1130,0.029743,0.000000,0.012876,1.684
1,forward,kick,4.7952,1401.00,1129,0.029743,0.000000,0.012876,1.684
1,forward,kick,4.8161,1401.00,1130,0.029743,0.000000,0.012876,1.684
1,forward,kick,4.8369,1401.00,1130,0.029743,0.000000,0.012876,1.684
1,forward,kick,4.8387,1401.00,1130,0.029743,0.000000,0.012876,1.704
1,forward,kick,4.8551,1401.00,1130,0.076280,2.849830,0.034525,1.704
1,forward,sustain,4.8760,1412.50,1139,0.076280,0.000000,0.034525,1.704
1,forward,sustain,4.8969,1412.50,1139,0.076280,0.000000,0.034525,1.704
1,forward,sustain,4.9178,1412.50,1139,0.076280,0.000000,0.034525,1.704
1,forward,sustain,4.9393,1412.50,1139,0.076280,0.000000,0.034525,1.730
1,forward,sustain,4.9558,1412.50,1140,0.125347,2.969216,0.061214,1.730
