stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.3889,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783747504.915535212,-0.035458,-0.271381,0.796131,0.023735,,,0.000000,0.000000,0.000000,1.466,1.498
warmup,center,0,forward,3.4107,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783747504.915535212,-0.035458,-0.271381,0.796131,0.023735,,,0.000000,0.000000,0.000000,1.466,1.498
warmup,center,0,forward,3.4324,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783747504.915535212,-0.035458,-0.271381,0.796131,0.023735,,,0.000000,0.000000,0.000000,1.466,1.498
warmup,center,0,forward,3.4541,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783747504.915535212,-0.035458,-0.271381,0.796131,0.023735,,,0.000000,0.000000,0.000000,1.453,1.498
warmup,center,0,forward,3.4745,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783747505.013816118,-0.035496,-0.271106,0.793766,0.018232,0.0001696,-0.0023648,0.000170,0.000000,0.000000,1.453,1.498
warmup,center,0,forward,3.4929,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747505.013816118,-0.035496,-0.271106,0.793766,0.018232,,,0.000170,0.000000,0.000000,1.453,1.498
warmup,center,0,forward,3.5147,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747505.013816118,-0.035496,-0.271106,0.793766,0.018232,,,0.000170,0.000000,0.000000,1.453,1.498
warmup,center,0,forward,3.5364,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747505.013816118,-0.035496,-0.271106,0.793766,0.018232,,,0.000170,0.000000,0.000000,1.453,1.498
warmup,center,0,forward,3.5581,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783747505.013816118,-0.035496,-0.271106,0.793766,0.018232,,,0.000170,0.000000,0.000000,1.446,1.498
warmup,center,0,forward,3.5754,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783747505.114217281,-0.035253,-0.273178,0.792919,0.010423,-0.0013058,-0.0008472,0.001475,0.000000,0.000000,1.446,1.498
warmup,center,0,forward,3.5915,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747505.114217281,-0.035253,-0.273178,0.792919,0.010423,,,0.001475,0.000000,0.000000,1.446,1.498
warmup,center,0,forward,3.6132,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747505.114217281,-0.035253,-0.273178,0.792919,0.010423,,,0.001475,0.000000,0.000000,1.446,1.498
warmup,center,0,forward,3.6352,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747505.114217281,-0.035253,-0.273178,0.792919,0.010423,,,0.001475,0.000000,0.000000,1.446,1.498
warmup,center,0,forward,3.6569,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783747505.114217281,-0.035253,-0.273178,0.792919,0.010423,,,0.001475,0.000000,0.000000,1.473,1.499
warmup,center,0,forward,3.6755,1450.000,1169,startup,1419.664,1145,1419.384,0.000,1,3,1783747505.214613438,-0.032956,-0.273161,0.792830,0.011860,0.0016236,-0.0000892,0.003099,0.000000,0.000000,1.473,1.499
warmup,center,0,forward,3.6888,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747505.214613438,-0.032956,-0.273161,0.792830,0.011860,,,0.003099,0.000000,0.000000,1.473,1.499
warmup,center,0,forward,3.7106,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747505.214613438,-0.032956,-0.273161,0.792830,0.011860,,,0.003099,0.000000,0.000000,1.473,1.499
warmup,center,0,forward,3.7323,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747505.214613438,-0.032956,-0.273161,0.792830,0.011860,,,0.003099,0.000000,0.000000,1.473,1.499
warmup,center,0,forward,3.7540,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783747505.214613438,-0.032956,-0.273161,0.792830,0.011860,,,0.003099,0.000000,0.000000,1.467,1.499
warmup,center,0,forward,3.7736,1450.000,1169,startup,1418.424,1144,1419.384,0.000,1,4,1783747505.315032244,-0.032610,-0.272689,0.793827,0.010337,0.0005792,0.0009973,0.003678,0.000000,0.000000,1.467,1.499
warmup,center,0,forward,3.7914,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747505.315032244,-0.032610,-0.272689,0.793827,0.010337,,,0.003678,0.000000,0.000000,1.467,1.499
warmup,center,0,forward,3.8132,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747505.315032244,-0.032610,-0.272689,0.793827,0.010337,,,0.003678,0.000000,0.000000,1.467,1.499
warmup,center,0,forward,3.8350,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747505.315032244,-0.032610,-0.272689,0.793827,0.010337,,,0.003678,0.000000,0.000000,1.467,1.499
warmup,center,0,forward,3.8568,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783747505.315032244,-0.032610,-0.272689,0.793827,0.010337,,,0.003678,0.000000,0.000000,1.444,1.498
warmup,center,0,forward,3.8740,1450.000,1169,startup,1415.324,1141,1419.384,0.000,1,5,1783747505.413267612,-0.037081,-0.277127,0.794920,-0.008279,-0.0062995,0.0010928,0.009978,0.000000,0.000000,1.444,1.498
warmup,center,0,forward,3.8883,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747505.413267612,-0.037081,-0.277127,0.794920,-0.008279,,,0.009978,0.000000,0.000000,1.444,1.498
warmup,center,0,forward,3.9100,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747505.413267612,-0.037081,-0.277127,0.794920,-0.008279,,,0.009978,0.000000,0.000000,1.444,1.498
warmup,center,0,forward,3.9318,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747505.413267612,-0.037081,-0.277127,0.794920,-0.008279,,,0.009978,0.000000,0.000000,1.444,1.498
warmup,center,0,forward,3.9535,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783747505.413267612,-0.037081,-0.277127,0.794920,-0.008279,,,0.009978,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,3.9748,1450.000,1169,startup,1412.224,1139,1419.384,0.000,1,6,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,-0.0053769,0.0010419,0.015355,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,3.9862,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,,,0.015355,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,4.0079,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,,,0.015355,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,4.0297,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,,,0.015355,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,4.0515,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,,,0.015355,0.000000,0.000000,1.443,1.498
warmup,center,0,forward,4.0734,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783747505.513772249,-0.041342,-0.280481,0.795962,-0.019584,,,0.015355,0.000000,0.000000,1.474,1.499
warmup,center,0,forward,4.0760,1450.000,1169,startup,1409.124,1136,1419.384,0.000,1,7,1783747505.614354372,-0.045137,-0.282236,0.798732,-0.024400,-0.0039074,0.0027706,0.019262,0.000000,0.000000,1.474,1.499
warmup,center,0,forward,4.0965,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747505.614354372,-0.045137,-0.282236,0.798732,-0.024400,,,0.019262,0.000000,0.000000,1.474,1.499
warmup,center,0,forward,4.1182,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747505.614354372,-0.045137,-0.282236,0.798732,-0.024400,,,0.019262,0.000000,0.000000,1.474,1.499
warmup,center,0,forward,4.1400,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747505.614354372,-0.045137,-0.282236,0.798732,-0.024400,,,0.019262,0.000000,0.000000,1.474,1.499
warmup,center,0,forward,4.1616,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783747505.614354372,-0.045137,-0.282236,0.798732,-0.024400,,,0.019262,0.000000,0.000000,1.444,1.499
warmup,center,0,forward,4.1728,1450.000,1169,startup,1406.024,1134,1419.384,0.000,1,8,1783747505.715013981,-0.046837,-0.283939,0.799227,-0.024274,-0.0024056,0.0004951,0.021668,0.000000,0.000000,1.444,1.499
warmup,center,0,forward,4.1920,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747505.715013981,-0.046837,-0.283939,0.799227,-0.024274,,,0.021668,0.000000,0.000000,1.444,1.499
warmup,center,0,forward,4.2140,1450.000,1169,startup,1406.024,1134,1419.384,0.000,0,0,1783747505.715013981,-0.046837,-0.283939,0.799227,-0.024274,,,0.021668,0.000000,0.000000,1.444,1.499
