stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.4016,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783755666.863060474,-0.009463,0.009130,-0.003516,-0.000869,,,0.000000,0.000000,0.000000,1.191,1.862
warmup,center,0,forward,3.4233,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783755666.863060474,-0.009463,0.009130,-0.003516,-0.000869,,,0.000000,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.4280,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,-0.0016585,0.0002318,0.001658,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.4353,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,,,0.001658,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.4569,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,,,0.001658,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.4788,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,,,0.001658,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.5004,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,,,0.001658,0.000000,0.000000,1.192,1.863
warmup,center,0,forward,3.5220,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783755666.963362455,-0.011125,0.007955,-0.003284,-0.004785,,,0.001658,0.000000,0.000000,1.191,1.863
warmup,center,0,forward,3.5282,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783755667.061396599,-0.010661,0.008011,-0.003084,-0.002407,0.0004637,0.0002003,0.002122,0.000000,0.000000,1.191,1.863
warmup,center,0,forward,3.5385,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783755667.061396599,-0.010661,0.008011,-0.003084,-0.002407,,,0.002122,0.000000,0.000000,1.191,1.863
warmup,center,0,forward,3.5601,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783755667.061396599,-0.010661,0.008011,-0.003084,-0.002407,,,0.002122,0.000000,0.000000,1.191,1.863
