stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.4011,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783756288.654361963,0.011036,0.009945,-0.009083,0.002106,,,0.000000,0.000000,0.000000,1.485,1.394
warmup,center,0,forward,3.4229,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783756288.654361963,0.011036,0.009945,-0.009083,0.002106,,,0.000000,0.000000,0.000000,1.485,1.394
warmup,center,0,forward,3.4444,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783756288.654361963,0.011036,0.009945,-0.009083,0.002106,,,0.000000,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.4602,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,0.0003394,-0.0004598,0.000339,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.4703,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,,,0.000339,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.4919,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,,,0.000339,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.5135,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,,,0.000339,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.5350,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,,,0.000339,0.000000,0.000000,1.485,1.393
warmup,center,0,forward,3.5565,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783756288.754490614,0.011378,0.010231,-0.009543,0.002427,,,0.000339,0.000000,0.000000,1.486,1.393
warmup,center,0,forward,3.5607,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783756288.855008602,0.010595,0.009469,-0.009247,-0.000110,-0.0007760,0.0002958,0.001115,0.000000,0.000000,1.486,1.393
