direction,block,elapsed_s,block_elapsed_s,target_speed_mps,target_curvature_1pm,steering_pulse_us,steering_tick,approach_direction,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,transition_sample,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,block_motion_m,direction_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
forward,1,3.0368,0.0000,0.2000,0.00000,1442.635,1163,decreasing,startup,1423.384,1148,1419.384,0.000,0,0,1783746496.036119461,0.244762,0.072993,0.244779,0.002648,,,,0.000000,0.000000,0.000000,0.000000,0.865,2.126
forward,1,3.0586,0.0218,0.2000,0.00000,1442.635,1163,decreasing,startup,1423.384,1148,1419.384,0.000,0,0,1783746496.036119461,0.244762,0.072993,0.244779,0.002648,,,,0.000000,0.000000,0.000000,0.000000,0.865,2.126
forward,1,3.0801,0.0434,0.2000,0.00000,1442.635,1163,decreasing,startup,1423.384,1148,1419.384,0.000,0,0,1783746496.036119461,0.244762,0.072993,0.244779,0.002648,,,,0.000000,0.000000,0.000000,0.000000,0.862,2.122
forward,1,3.0855,0.0488,0.2000,0.00000,1442.635,1163,decreasing,startup,1423.384,1148,1419.384,0.000,0,0,1783746496.036119461,0.244762,0.072993,0.244779,0.002648,,,,0.000000,0.000000,0.000000,0.000000,0.862,2.122
forward,1,3.1075,0.0707,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,1,1,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,-0.0052747,0.0024754,-0.4693067,0.005275,0.005275,0.000000,0.000000,0.862,2.122
forward,1,3.1093,0.0726,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,0,0,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,,,,0.005275,0.005275,0.000000,0.000000,0.862,2.122
forward,1,3.1309,0.0941,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,0,0,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,,,,0.005275,0.005275,0.000000,0.000000,0.862,2.122
forward,1,3.1524,0.1157,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,0,0,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,,,,0.005275,0.005275,0.000000,0.000000,0.862,2.122
forward,1,3.1739,0.1372,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,0,0,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,,,,0.005275,0.005275,0.000000,0.000000,0.867,2.128
forward,1,3.1830,0.1462,0.2000,0.00000,1442.635,1163,decreasing,startup,1422.144,1147,1419.384,0.000,0,0,1783746496.136582375,0.241276,0.065217,0.247254,-0.011140,,,,0.005275,0.005275,0.000000,0.000000,0.867,2.128
