target_speed_mps,pass_index,direction,block,global_block,from_kappa_1pm,to_kappa_1pm,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,adaptive_feedforward_us,integral_trim_us,elapsed_s,time_since_step_s,motion_since_step_m,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,leg_motion_m,front_clearance_m,rear_clearance_m
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1421.000,1417.000,0.000,3.0328,0.0000,0.000000,0,1783792852.673548698,9.681241,2.112228,-1.685739,-0.001829,,,,0.000000,2.669,4.885
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1419.760,1417.000,0.000,3.0551,0.0224,0.004344,1,1783792852.772963524,9.681884,2.116527,-1.685668,-0.012297,-0.0043444,0.0000711,-0.0163773,0.004344,2.669,4.885
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1419.760,1417.000,0.000,3.0571,0.0244,0.004344,0,1783792852.772963524,9.681884,2.116527,-1.685668,-0.012297,,,,0.004344,2.669,4.885
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1419.760,1417.000,0.000,3.0787,0.0460,0.004344,0,1783792852.772963524,9.681884,2.116527,-1.685668,-0.012297,,,,0.004344,2.669,4.885
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1419.760,1417.000,0.000,3.1004,0.0676,0.004344,0,1783792852.772963524,9.681884,2.116527,-1.685668,-0.012297,,,,0.004344,2.669,4.885
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1419.760,1417.000,0.000,3.1219,0.0892,0.004344,0,1783792852.772963524,9.681884,2.116527,-1.685668,-0.012297,,,,0.004344,2.670,4.918
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1418.520,1417.000,0.000,3.1306,0.0978,0.011198,1,1783792852.873943806,9.680555,2.109782,-1.685364,0.007745,0.0068534,0.0003044,0.0444132,0.011198,2.670,4.918
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1418.520,1417.000,0.000,3.1501,0.1173,0.011198,0,1783792852.873943806,9.680555,2.109782,-1.685364,0.007745,,,,0.011198,2.670,4.918
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1418.520,1417.000,0.000,3.1719,0.1391,0.011198,0,1783792852.873943806,9.680555,2.109782,-1.685364,0.007745,,,,0.011198,2.670,4.918
0.300,1,forward,1,1,0.000,0.000,1451.500,1171,startup,1418.520,1417.000,0.000,3.1936,0.1608,0.011198,0,1783792852.873943806,9.680555,2.109782,-1.685364,0.007745,,,,0.011198,2.670,4.918
