target_speed_mps,pass_index,direction,block,global_block,from_kappa_1pm,to_kappa_1pm,steering_pulse_us,settled_signed_distance_m,settled_heading_change_rad,measured_curvature_1pm,curvature_error_1pm,mean_speed_mps,settled_samples,recovery_events,valid
0.3,1,forward,1,1,0.0,0.0,1451.5,0.7274408829357718,0.01773378441000073,0.024378316954680297,0.024378316954680297,0.2553838487488824,27,0,True
0.3,1,forward,2,2,0.0,0.8,1668.891304347826,0.37401815371183106,0.2918323715934128,0.7802625853777682,-0.019737414622231886,0.3076667598486544,12,0,True
0.3,1,forward,3,3,0.8,0.0,1451.5,0.3579490512644673,0.022319274612844664,0.06235321628595204,0.06235321628595204,0.2955758808683318,12,0,True
0.3,1,forward,4,4,0.0,-0.8,1190.9782608695652,0.34859157306017274,-0.2672201618240242,-0.766570917013813,0.033429082986187075,0.2901571287777254,12,0,True
0.3,1,forward,5,5,-0.8,0.0,1451.5,0.37934552487906537,0.004308976326458991,0.011358974981536119,0.011358974981536119,0.3181456889374977,12,0,True
0.3,1,reverse,1,6,0.0,0.0,1475.5,-0.7358730576088403,-0.0006443751839120271,0.0008756607912863013,0.0008756607912863013,0.28133474777257267,24,0,True
0.3,1,reverse,2,7,0.0,-0.8,1193.4130434782608,-0.31851404679977413,0.27057219431829704,-0.8494827686151797,-0.04948276861517964,0.30667402880170386,11,0,True
0.3,1,reverse,3,8,-0.8,0.0,1475.5,-0.38763856747786407,0.004757285833266067,-0.012272478108199928,-0.012272478108199928,0.311494848717135,12,0,True
0.3,1,reverse,4,9,0.0,0.8,1695.6739130434783,-0.3316644426010095,-0.23951893312579897,0.7221724802557111,-0.07782751974428892,0.30863780113046363,11,0,True
0.3,1,reverse,5,10,0.8,0.0,1475.5,-0.32103400185614206,-0.004153756467135894,0.012938680772503425,0.012938680772503425,0.3036628567119346,11,0,True
0.3,2,forward,1,11,0.0,0.0,1451.5,0.7495600375370237,0.03201090618040081,0.04270626044257284,0.04270626044257284,0.2980560845001508,23,0,True
0.3,2,forward,2,12,0.0,0.8,1668.891304347826,0.36192734149531464,0.27802844250951675,0.7681885578492997,-0.03181144215070031,0.32409733351128056,11,0,True
0.3,2,forward,3,13,0.8,0.0,1451.5,0.34443327821737124,0.014772908397923556,0.042890479324127324,0.042890479324127324,0.2889308838257261,12,0,True
0.3,2,forward,4,14,0.0,-0.8,1190.9782608695652,0.3528119604024244,-0.2709185120557649,-0.7678835823670768,0.03211641763292328,0.29470120874385014,12,0,True
0.3,2,forward,5,15,-0.8,0.0,1451.5,0.36046493490230025,0.012176683469476757,0.03378049371924929,0.03378049371924929,0.3204913893922246,11,0,True
0.3,2,reverse,1,16,0.0,0.0,1475.5,-0.7112315387480925,0.0025284362594206753,-0.0035550114437714908,-0.0035550114437714908,0.2773160187876175,24,0,True
0.3,2,reverse,2,17,0.0,-0.8,1193.4130434782608,-0.3481888132230393,0.2821754841770503,-0.8104093912870691,-0.01040939128706908,0.2934577345094278,12,0,True
0.3,2,reverse,3,18,-0.8,0.0,1475.5,-0.35425761652023574,0.011768680792128672,-0.03322068529599681,-0.03322068529599681,0.29925879106277736,12,0,True
0.3,2,reverse,4,19,0.0,0.8,1695.6739130434783,-0.35488399591727626,-0.25289791279927787,0.7126213515084195,-0.0873786484915805,0.28908670477801035,12,0,True
0.3,2,reverse,5,20,0.8,0.0,1475.5,-0.3471681429613746,0.006945439486801819,-0.020005981619040887,-0.020005981619040887,0.313409696660101,11,0,True
0.3,3,forward,1,21,0.0,0.0,1451.5,0.7308660812122982,0.018183511270196018,0.024879402311343772,0.024879402311343772,0.2936497690462537,23,0,True
0.3,3,forward,2,22,0.0,0.8,1668.891304347826,0.34464937070513774,0.2719881062125321,0.7891733725091568,-0.010826627490843288,0.30913309649915754,11,0,True
0.3,3,forward,3,23,0.8,0.0,1451.5,0.3504194077213391,0.02637554331808034,0.07526850036529577,0.07526850036529577,0.2913708232762484,12,0,True
0.3,3,forward,4,24,0.0,-0.8,1190.9782608695652,0.3535286285201797,-0.27484362956492703,-0.7774296263230029,0.022570373676997102,0.31955738495710956,11,0,True
0.3,3,forward,5,25,-0.8,0.0,1451.5,0.3618916301157855,0.008603425978806145,0.023773487041005948,0.023773487041005948,0.32594567240958056,11,0,True
0.3,3,reverse,1,26,0.0,0.0,1475.5,-0.7346535503119572,-0.001620816864186469,0.002206232942722755,0.002206232942722755,0.29271131616458157,23,0,True
0.3,3,reverse,2,27,0.0,-0.8,1193.4130434782608,-0.3569683467855134,0.29127567525823883,-0.8159705976206725,-0.015970597620672433,0.2986319309436264,12,0,True
0.3,3,reverse,3,28,-0.8,0.0,1475.5,-0.35910373163906684,0.0032048491902316734,-0.008924577797071877,-0.008924577797071877,0.2988414209694211,12,0,True
0.3,3,reverse,4,29,0.0,0.8,1695.6739130434783,-0.3459911240352165,-0.23818981327638133,0.6884275252452353,-0.11157247475476473,0.30541090973439017,11,0,True
0.3,3,reverse,5,30,0.8,0.0,1475.5,-0.368597594935444,0.0023572832906075813,-0.006395275831955536,-0.006395275831955536,0.30779908011375406,12,0,True
0.15,1,forward,1,31,0.0,0.0,1451.5,0.7673882693843673,0.01936722038933847,0.02523783743120768,0.02523783743120768,0.1571496365353162,48,0,True
0.15,1,forward,2,32,0.0,0.8,1668.891304347826,0.4061307243196814,0.3205998360022776,0.7894005964195925,-0.010599403580407563,0.20769899953055698,20,0,True
0.15,1,forward,3,33,0.8,0.0,1451.5,0.4457286101732184,0.029112019861181615,0.06531333012226463,0.06531333012226463,0.13972358903848697,30,0,True
0.15,1,forward,4,34,0.0,-0.8,1190.9782608695652,0.392204216693561,-0.321595068130363,-0.81996841044071,-0.01996841044070996,0.1390210990943195,31,0,True
0.15,1,forward,5,35,-0.8,0.0,1451.5,0.45628642082734844,0.01342909185673391,0.02943127659241752,0.02943127659241752,0.16481077745359818,27,0,True
0.15,1,reverse,1,36,0.0,0.0,1475.5,-0.680240435339093,0.002932843785253381,-0.004311481107105002,-0.004311481107105002,0.18143150488531762,37,0,True
0.15,1,reverse,2,37,0.0,-0.8,1193.4130434782608,-0.4718255162514691,0.3637897036160562,-0.7710259218413423,0.028974078158657712,0.2090322210909033,21,1,False
0.15,1,reverse,3,38,-0.8,0.0,1475.5,-0.5096894800533007,0.007328984868921418,-0.014379313593356861,-0.014379313593356861,0.15722290936948954,31,0,True
0.15,1,reverse,4,39,0.0,0.8,1695.6739130434783,-0.41032613107809585,-0.2904811344764996,0.7079274569067437,-0.0920725430932563,0.17471571882096132,23,1,False
0.15,1,reverse,5,40,0.8,0.0,1475.5,-0.44679218722435554,-0.004334650716387056,0.009701715563370902,0.009701715563370902,0.17257797346604167,27,0,True
