condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,valid
1,1,1500.0,increasing,1470.0,forward,0.2,0.3113894969213686,0.055817118576677205,0.1792517703022335,0.04970140116235993,22,True
1,2,1500.0,increasing,1470.0,reverse,-0.2,-0.4079056138513056,-0.05315854229132591,0.13032069303832594,0.03614823917411098,25,True
2,3,1500.0,decreasing,1530.0,forward,0.2,0.2992595009194796,0.055302424906961384,0.18479755776188825,0.05123644031240376,22,True
2,4,1500.0,decreasing,1530.0,reverse,-0.2,-0.2749567319486144,-0.028626165935170117,0.10411152959339053,0.028882915185844973,16,True
3,5,1480.0,increasing,1450.0,forward,0.2,0.21955043799920806,0.03596623839052332,0.16381765720118058,0.04542812383018151,15,True
3,6,1480.0,increasing,1450.0,reverse,-0.2,-0.2716912887148543,-0.028195532424149766,0.10377783018925413,0.02879039058300543,17,True
4,7,1480.0,decreasing,1510.0,forward,0.2,0.3541770345778701,0.044628753371317165,0.12600690901517217,0.0349526765188179,23,True
4,8,1480.0,decreasing,1510.0,reverse,-0.2,-0.2459457322824167,-0.01588261024841603,0.0645777021663389,0.01791839442536105,16,True
5,9,1520.0,increasing,1490.0,forward,0.2,0.3949755627350403,0.08930463514128079,0.2261016720196146,0.06266107395044608,26,True
5,10,1520.0,increasing,1490.0,reverse,-0.2,-0.18327604096713213,-0.03456184359850761,0.1885780782699566,0.05228272658501827,11,True
6,11,1520.0,decreasing,1550.0,forward,0.2,0.3869637635505098,0.09824346400158851,0.2538828522344701,0.07033627250977793,26,True
