condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,valid
1,1,1440.0,increasing,1410.0,forward,0.2,0.38859307017103156,0.0035945475962297913,0.00925015877058158,0.002566913420985934,23,True
1,2,1440.0,increasing,1410.0,reverse,-0.2,-0.33940310562283416,0.013475991892465511,-0.03970497520267499,-0.01101768478712659,16,True
2,3,1440.0,decreasing,1470.0,forward,0.2,0.38849174388341223,-0.013166347184494609,-0.033890931768284574,-0.00940445630061126,23,True
2,4,1440.0,decreasing,1470.0,reverse,-0.2,-0.32995574117331455,0.02806509269343116,-0.08505714309935138,-0.023598975385929484,18,True
3,5,1340.0,increasing,1310.0,forward,0.2,0.3886747204296981,-0.12317256795332521,-0.31690398546412324,-0.08771520248228014,25,True
3,6,1340.0,increasing,1310.0,reverse,-0.2,-0.24997607324285814,0.09333691876321831,-0.37338341046960566,-0.10324547265741493,14,True
4,7,1340.0,decreasing,1370.0,forward,0.2,0.3723457994499643,-0.13687081123378048,-0.36759058766331837,-0.10165477817876978,25,True
4,8,1340.0,decreasing,1370.0,reverse,-0.2,-0.335653686586415,0.12914003183198292,-0.3847418842478152,-0.10636295202847612,17,True
5,9,1540.0,increasing,1510.0,forward,0.2,0.38607647439605147,0.1138655917102791,0.29493014794128997,0.08166111050920304,23,True
5,10,1540.0,increasing,1510.0,reverse,-0.2,-0.22021412193229842,-0.052885845680295196,0.24015646778799304,0.06654501974681214,14,True
6,11,1540.0,decreasing,1570.0,forward,0.2,0.4035442323818395,0.13065158600039206,0.32376026099852073,0.08960290213455445,22,True
6,12,1540.0,decreasing,1570.0,reverse,-0.2,-0.30269647375250314,-0.07281263270940985,0.2405466829750531,0.06665282488298388,18,True
