condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3650,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739743.614341259,-0.088390,-0.124686,1.014605,0.005152,,,,,0.000000,0.000000,0.000000,0.765,1.201
1,1,4.3868,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739743.614341259,-0.088390,-0.124686,1.014605,0.005152,,,,,0.000000,0.000000,0.000000,0.765,1.201
1,1,4.4085,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739743.614341259,-0.088390,-0.124686,1.014605,0.005152,,,,,0.000000,0.000000,0.000000,0.765,1.201
1,1,4.4300,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739743.614341259,-0.088390,-0.124686,1.014605,0.005152,,,,,0.000000,0.000000,0.000000,0.766,1.200
1,1,4.4505,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1,1783739743.714709282,-0.087775,-0.128689,1.016182,-0.003801,-0.0030773,0.0015768,-0.5123943,-0.1412426,0.003077,0.000000,0.000000,0.766,1.200
1,1,4.4694,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739743.714709282,-0.087775,-0.128689,1.016182,-0.003801,,,,,0.003077,0.000000,0.000000,0.766,1.200
1,1,4.4910,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739743.714709282,-0.087775,-0.128689,1.016182,-0.003801,,,,,0.003077,0.000000,0.000000,0.766,1.200
1,1,4.5127,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739743.714709282,-0.087775,-0.128689,1.016182,-0.003801,,,,,0.003077,0.000000,0.000000,0.766,1.200
1,1,4.5342,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739743.714709282,-0.087775,-0.128689,1.016182,-0.003801,,,,,0.003077,0.000000,0.000000,0.765,1.201
1,1,4.5489,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,0.0027729,-0.0002394,-0.0863373,-0.0239540,0.005850,0.000000,0.000000,0.765,1.201
1,1,4.5591,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,,,,,0.005850,0.000000,0.000000,0.765,1.201
1,1,4.5808,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,,,,,0.005850,0.000000,0.000000,0.765,1.201
1,1,4.6023,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,,,,,0.005850,0.000000,0.000000,0.765,1.201
1,1,4.6238,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,,,,,0.005850,0.000000,0.000000,0.765,1.201
1,1,4.6454,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739743.815279245,-0.086511,-0.126210,1.015943,0.004042,,,,,0.005850,0.000000,0.000000,0.767,1.197
1,1,4.6491,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,1,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,0.0028560,-0.0000329,-0.0115066,-0.0031931,0.008706,0.000000,0.000000,0.767,1.197
1,1,4.6593,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.767,1.197
1,1,4.6809,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.767,1.197
1,1,4.7025,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.767,1.197
1,1,4.7240,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.767,1.197
1,1,4.7458,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.772,1.195
1,1,4.7497,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739743.913429976,-0.086206,-0.123039,1.015910,0.010306,,,,,0.008706,0.000000,0.000000,0.772,1.195
1,1,4.7717,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,1,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,0.0028688,0.0032167,1.1212567,0.3016533,0.011575,0.000000,0.000000,0.772,1.195
1,1,4.7738,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,,,,,0.011575,0.000000,0.000000,0.772,1.195
1,1,4.7956,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,,,,,0.011575,0.000000,0.000000,0.772,1.195
1,1,4.8172,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,,,,,0.011575,0.000000,0.000000,0.772,1.195
1,1,4.8387,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,,,,,0.011575,0.000000,0.000000,0.771,1.192
1,1,4.8500,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739744.013952255,-0.080992,-0.122887,1.019127,0.014864,,,,,0.011575,0.000000,0.000000,0.771,1.192
1,1,4.8719,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,1,1783739744.114539862,-0.078790,-0.119391,1.018940,0.021418,0.0041322,-0.0001869,-0.0452256,-0.0125494,0.015707,0.000000,0.000000,0.771,1.192
1,1,4.8763,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739744.114539862,-0.078790,-0.119391,1.018940,0.021418,,,,,0.015707,0.000000,0.000000,0.771,1.192
1,1,4.8981,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739744.114539862,-0.078790,-0.119391,1.018940,0.021418,,,,,0.015707,0.000000,0.000000,0.771,1.192
1,1,4.9198,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739744.114539862,-0.078790,-0.119391,1.018940,0.021418,,,,,0.015707,0.000000,0.000000,0.771,1.192
1,1,4.9414,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739744.114539862,-0.078790,-0.119391,1.018940,0.021418,,,,,0.015707,0.000000,0.000000,0.772,1.192
1,1,4.9507,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,1,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,-0.0010457,0.0004644,-0.4440804,-0.1226141,0.016753,0.000000,0.000000,0.772,1.192
1,1,4.9612,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,,,,,0.016753,0.000000,0.000000,0.772,1.192
1,1,4.9829,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,,,,,0.016753,0.000000,0.000000,0.772,1.192
1,1,5.0044,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,,,,,0.016753,0.000000,0.000000,0.772,1.192
1,1,5.0259,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,,,,,0.016753,0.000000,0.000000,0.772,1.192
1,1,5.0475,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739744.214871407,-0.081026,-0.119243,1.019404,0.013458,,,,,0.016753,0.000000,0.000000,0.772,1.191
1,1,5.0500,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,1,1783739744.315451622,-0.081248,-0.119936,1.019392,0.008337,-0.0007069,-0.0000124,0.0175326,0.0048653,0.017460,0.000000,0.000000,0.772,1.191
1,1,5.0636,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739744.315451622,-0.081248,-0.119936,1.019392,0.008337,,,,,0.017460,0.000000,0.000000,0.772,1.191
1,1,5.0854,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739744.315451622,-0.081248,-0.119936,1.019392,0.008337,,,,,0.017460,0.000000,0.000000,0.772,1.191
1,1,5.1070,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739744.315451622,-0.081248,-0.119936,1.019392,0.008337,,,,,0.017460,0.000000,0.000000,0.772,1.191
1,1,5.1285,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739744.315451622,-0.081248,-0.119936,1.019392,0.008337,,,,,0.017460,0.000000,0.000000,0.771,1.192
1,1,5.1497,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,1,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,0.0009384,-0.0002844,-0.3030980,-0.0839122,0.018398,0.000000,0.000000,0.771,1.192
1,1,5.1564,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,,,,,0.018398,0.000000,0.000000,0.771,1.192
1,1,5.1782,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,,,,,0.018398,0.000000,0.000000,0.771,1.192
1,1,5.1998,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,,,,,0.018398,0.000000,0.000000,0.771,1.192
1,1,5.2214,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,,,,,0.018398,0.000000,0.000000,0.771,1.192
1,1,5.2429,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739744.413674831,-0.079235,-0.120073,1.019107,0.008641,,,,,0.018398,0.000000,0.000000,0.771,1.191
1,1,5.2497,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1402.924,1131,1,1783739744.514139175,-0.080748,-0.118364,1.018558,0.008127,0.0006615,-0.0005494,-0.8304794,-0.2265034,0.019060,0.000000,0.000000,0.771,1.191
1,1,5.2641,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1402.924,1131,0,1783739744.514139175,-0.080748,-0.118364,1.018558,0.008127,,,,,0.019060,0.000000,0.000000,0.771,1.191
1,1,5.2857,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1402.924,1131,0,1783739744.514139175,-0.080748,-0.118364,1.018558,0.008127,,,,,0.019060,0.000000,0.000000,0.771,1.191
1,1,5.3073,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1402.924,1131,0,1783739744.514139175,-0.080748,-0.118364,1.018558,0.008127,,,,,0.019060,0.000000,0.000000,0.771,1.191
1,1,5.3288,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1402.924,1131,0,1783739744.514139175,-0.080748,-0.118364,1.018558,0.008127,,,,,0.019060,0.000000,0.000000,0.778,1.191
1,1,5.3503,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1399.824,1129,1,1783739744.614613056,-0.083571,-0.111803,1.019506,0.016316,0.0041076,0.0009484,0.2308955,0.0639860,0.023167,0.000000,0.000000,0.778,1.191
1,1,5.3703,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1399.824,1129,0,1783739744.614613056,-0.083571,-0.111803,1.019506,0.016316,,,,,0.023167,0.000000,0.000000,0.778,1.191
1,1,5.3919,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1399.824,1129,0,1783739744.614613056,-0.083571,-0.111803,1.019506,0.016316,,,,,0.023167,0.000000,0.000000,0.778,1.191
1,1,5.4136,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1399.824,1129,0,1783739744.614613056,-0.083571,-0.111803,1.019506,0.016316,,,,,0.023167,0.000000,0.000000,0.778,1.191
1,1,5.4351,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1399.824,1129,0,1783739744.614613056,-0.083571,-0.111803,1.019506,0.016316,,,,,0.023167,0.000000,0.000000,0.789,1.169
1,1,5.4507,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1396.724,1126,1,1783739744.715077639,-0.071696,-0.102822,1.022079,0.046736,0.0138636,0.0025733,0.1856143,0.0514625,0.037031,0.000000,0.000000,0.789,1.169
1,1,5.4645,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1396.724,1126,0,1783739744.715077639,-0.071696,-0.102822,1.022079,0.046736,,,,,0.037031,0.000000,0.000000,0.789,1.169
1,1,5.4862,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1396.724,1126,0,1783739744.715077639,-0.071696,-0.102822,1.022079,0.046736,,,,,0.037031,0.000000,0.000000,0.789,1.169
