direction,elapsed_s,pulse_us,average_tick,signed_speed_mps,distance_m,clearance_m,result
forward,2.316,1480.00,1193.5294,-0.006241,0.003547,1.666,continue
forward,2.633,1479.50,1193.1579,0.002491,0.001362,1.667,continue
forward,2.949,1479.00,1192.7368,0.002622,0.000827,1.667,continue
forward,3.249,1478.50,1192.3529,0.003737,0.001843,1.665,continue
forward,3.549,1478.00,1191.9444,-0.000001,0.001616,1.666,continue
forward,3.855,1477.50,1191.5556,0.005978,0.001762,1.666,continue
forward,4.160,1477.00,1191.1053,-0.000760,0.001389,1.665,continue
forward,4.471,1476.50,1190.7368,0.000264,0.002331,1.667,continue
forward,4.773,1476.00,1190.3333,0.005929,0.000649,1.666,continue
forward,5.094,1475.50,1189.9412,-0.005248,0.003387,1.666,continue
forward,5.401,1475.00,1189.5000,0.006401,0.002594,1.666,continue
forward,5.706,1474.50,1189.1111,-0.010319,0.004924,1.666,continue
forward,6.025,1474.00,1188.7222,-0.010323,0.005494,1.666,continue
forward,6.326,1473.50,1188.3333,0.005060,0.002280,1.666,continue
forward,6.647,1473.00,1187.8947,-0.006808,0.004599,1.666,continue
forward,6.957,1472.50,1187.5263,0.004914,0.000782,1.666,continue
forward,7.268,1472.00,1187.1053,0.006467,0.001495,1.666,continue
forward,7.587,1471.50,1186.6667,-0.001628,0.002469,1.666,continue
forward,7.890,1471.00,1186.2778,-0.001624,0.002934,1.666,continue
forward,8.209,1470.50,1185.8889,-0.002935,0.003642,1.666,continue
forward,8.519,1470.00,1185.4737,0.003952,0.002543,1.666,continue
forward,8.833,1469.50,1185.0556,0.001889,0.002438,1.666,continue
forward,9.151,1469.00,1184.6667,0.001919,0.001224,1.666,continue
forward,9.452,1468.50,1184.2778,0.001602,0.000757,1.666,continue
forward,9.753,1468.00,1183.8947,0.000306,0.001629,1.666,continue
forward,10.061,1467.50,1183.4444,0.010732,0.003251,1.666,continue
forward,10.361,1467.00,1183.0588,0.000471,0.000896,1.665,continue
forward,10.668,1466.50,1182.6667,-0.009924,0.004108,1.666,continue
forward,10.969,1466.00,1182.2353,-0.003318,0.002401,1.666,continue
forward,11.286,1465.50,1181.8421,0.002366,0.001854,1.665,continue
forward,11.588,1465.00,1181.4444,0.002995,0.000601,1.665,continue
forward,11.905,1464.50,1181.0556,-0.005008,0.003591,1.665,continue
forward,12.217,1464.00,1180.6667,0.005326,0.000978,1.665,continue
forward,12.521,1463.50,1180.2222,0.002872,0.001326,1.665,continue
forward,12.828,1463.00,1179.8235,-0.002381,0.002183,1.665,continue
forward,13.147,1462.50,1179.4444,-0.007144,0.003878,1.664,continue
forward,13.448,1462.00,1179.0556,0.003108,0.001256,1.666,continue
forward,13.749,1461.50,1178.6316,0.000347,0.001885,1.666,continue
forward,14.058,1461.00,1178.2105,0.000042,0.002630,1.666,continue
forward,14.379,1460.50,1177.8421,0.001994,0.002126,1.666,continue
forward,14.680,1460.00,1177.4444,0.000274,0.001781,1.666,continue
forward,15.001,1459.50,1177.0000,-0.000852,0.002228,1.665,continue
forward,15.322,1459.00,1176.6316,-0.005784,0.002889,1.666,continue
forward,15.641,1458.50,1176.2105,-0.000162,0.001199,1.665,continue
forward,15.942,1458.00,1175.8333,-0.000606,0.001037,1.667,continue
forward,16.244,1457.50,1175.3889,0.001971,0.000870,1.665,continue
forward,16.551,1457.00,1175.0000,-0.002401,0.002400,1.665,continue
forward,16.853,1456.50,1174.5882,0.003035,0.000732,1.665,continue
forward,17.173,1456.00,1174.2105,-0.007169,0.004606,1.666,continue
forward,17.480,1455.50,1173.7647,-0.009733,0.004892,1.666,continue
forward,17.799,1455.00,1173.3889,0.005852,0.002328,1.666,continue
forward,18.117,1454.50,1173.0000,-0.002109,0.001761,1.666,continue
forward,18.435,1454.00,1172.5789,0.000320,0.001444,1.665,continue
forward,18.737,1453.50,1172.1667,-0.007300,0.003595,1.666,continue
forward,19.040,1453.00,1171.7647,-0.003199,0.001385,1.666,continue
forward,19.340,1452.50,1171.3529,0.000344,0.000592,1.665,continue
forward,19.648,1452.00,1170.9444,-0.001038,0.000084,1.666,continue
forward,19.953,1451.50,1170.5556,-0.009521,0.003696,1.666,continue
forward,20.273,1451.00,1170.1667,0.003915,0.001046,1.664,continue
forward,20.589,1450.50,1169.7778,-0.005453,0.002858,1.666,continue
forward,20.897,1450.00,1169.3333,-0.002128,0.002081,1.665,continue
forward,21.212,1449.50,1168.9444,0.000289,0.001143,1.666,continue
forward,21.514,1449.00,1168.5556,-0.003317,0.002247,1.666,continue
forward,21.815,1448.50,1168.1667,-0.000748,0.002358,1.665,continue
forward,22.118,1448.00,1167.7647,-0.003513,0.003132,1.666,continue
forward,22.422,1447.50,1167.3529,0.013069,0.003150,1.666,continue
forward,22.735,1447.00,1166.9412,-0.000330,0.001635,1.666,continue
forward,23.040,1446.50,1166.5556,-0.005281,0.002771,1.666,continue
forward,23.349,1446.00,1166.1176,-0.007289,0.003745,1.665,continue
forward,23.668,1445.50,1165.7368,0.007447,0.001900,1.666,continue
forward,23.986,1445.00,1165.3158,-0.002810,0.002582,1.666,continue
forward,24.289,1444.50,1164.9444,0.006163,0.001878,1.666,continue
forward,24.592,1444.00,1164.5000,-0.002375,0.001914,1.666,continue
forward,24.910,1443.50,1164.1053,0.007110,0.001408,1.665,continue
forward,25.216,1443.00,1163.7222,0.003797,0.002290,1.666,continue
forward,25.533,1442.50,1163.3333,0.001879,0.001280,1.665,continue
forward,25.835,1442.00,1162.8889,-0.003529,0.002251,1.666,continue
forward,26.145,1441.50,1162.4737,0.002260,0.001141,1.666,continue
forward,26.446,1441.00,1162.1111,-0.007000,0.003380,1.666,continue
forward,26.764,1440.50,1161.6667,0.005511,0.000897,1.666,continue
forward,27.065,1440.00,1161.2778,0.004979,0.002223,1.666,continue
forward,27.367,1439.50,1160.8824,0.003608,0.000822,1.666,continue
forward,27.683,1439.00,1160.5000,0.002080,0.000462,1.666,continue
forward,27.984,1438.50,1160.0588,-0.005588,0.003556,1.666,continue
forward,28.287,1438.00,1159.7059,-0.002878,0.002731,1.666,continue
forward,28.604,1437.50,1159.2778,0.001585,0.002763,1.665,continue
forward,28.911,1437.00,1158.8824,0.004809,0.002264,1.666,continue
forward,29.227,1436.50,1158.4706,-0.005790,0.002853,1.666,continue
forward,29.529,1436.00,1158.0556,0.001860,0.001520,1.665,continue
forward,29.830,1435.50,1157.6667,0.002810,0.002442,1.665,continue
forward,30.132,1435.00,1157.2778,-0.004470,0.002265,1.666,continue
forward,30.433,1434.50,1156.8824,0.005243,0.002286,1.666,continue
forward,30.746,1434.00,1156.4444,-0.003079,0.002914,1.666,continue
forward,31.060,1433.50,1156.0588,-0.001142,0.001768,1.666,continue
forward,31.365,1433.00,1155.6471,0.002680,0.000812,1.665,continue
forward,31.682,1432.50,1155.2353,0.004167,0.002487,1.665,continue
forward,31.987,1432.00,1154.8235,0.002664,0.000787,1.667,continue
forward,32.302,1431.50,1154.4118,0.004949,0.002228,1.666,continue
forward,32.623,1431.00,1154.0526,0.001100,0.002219,1.666,continue
forward,32.926,1430.50,1153.6471,-0.001820,0.001960,1.666,continue
forward,33.236,1430.00,1153.2222,0.004093,0.001714,1.666,continue
forward,33.556,1429.50,1152.8333,0.003093,0.001071,1.666,continue
forward,33.877,1429.00,1152.4444,-0.008648,0.004249,1.665,continue
forward,34.180,1428.50,1152.0000,-0.004072,0.003203,1.666,continue
forward,34.501,1428.00,1151.6316,-0.000898,0.002554,1.666,continue
forward,34.819,1427.50,1151.2105,0.005499,0.000989,1.666,continue
forward,35.121,1427.00,1150.8333,-0.006168,0.003594,1.667,continue
forward,35.422,1426.50,1150.3750,-0.003792,0.002548,1.666,continue
forward,35.722,1426.00,1150.0000,-0.008182,0.004695,1.665,continue
forward,36.023,1425.50,1149.6111,0.004124,0.001550,1.666,continue
forward,36.331,1425.00,1149.1765,-0.000850,0.002071,1.667,continue
forward,36.635,1424.50,1148.7647,0.001798,0.001773,1.667,continue
forward,36.952,1424.00,1148.3684,-0.004374,0.004129,1.666,continue
forward,37.256,1423.50,1148.0000,0.002887,0.000755,1.666,continue
forward,37.556,1423.00,1147.5556,0.001353,0.001782,1.666,continue
forward,37.874,1422.50,1147.1765,-0.005716,0.002997,1.666,continue
forward,38.174,1422.00,1146.7778,0.003353,0.001538,1.666,continue
forward,38.495,1421.50,1146.3684,-0.010142,0.005373,1.667,continue
forward,38.797,1421.00,1145.9412,-0.004695,0.004377,1.666,continue
forward,39.102,1420.50,1145.5882,-0.009326,0.004947,1.666,continue
forward,39.420,1420.00,1145.1765,0.004674,0.001061,1.666,continue
forward,39.722,1419.50,1144.7778,-0.003552,0.001726,1.666,continue
forward,40.033,1419.00,1144.3684,-0.005759,0.002858,1.666,continue
forward,40.334,1418.50,1143.9412,-0.003879,0.004881,1.666,continue
forward,40.639,1418.00,1143.5294,0.009364,0.001322,1.667,continue
forward,40.953,1417.50,1143.1176,-0.006188,0.003067,1.667,continue
forward,41.272,1417.00,1142.7222,0.004753,0.000295,1.666,continue
forward,41.575,1416.50,1142.3333,0.002054,0.000792,1.666,continue
forward,41.894,1416.00,1141.9474,-0.000101,0.001280,1.666,continue
forward,42.214,1415.50,1141.5263,0.003998,0.000745,1.667,continue
forward,42.519,1415.00,1141.1053,0.000761,0.001165,1.667,continue
forward,42.824,1414.50,1140.7059,-0.001639,0.001459,1.666,continue
forward,43.125,1414.00,1140.2941,0.006863,0.002312,1.666,continue
forward,43.426,1413.50,1139.9444,-0.006335,0.001995,1.667,continue
forward,43.726,1413.00,1139.5000,-0.009079,0.004419,1.666,continue
forward,44.027,1412.50,1139.1250,-0.001724,0.002444,1.666,continue
forward,44.337,1412.00,1138.7222,-0.003145,0.002631,1.666,continue
forward,44.646,1411.50,1138.3333,0.004350,0.001672,1.666,continue
forward,44.956,1411.00,1137.8889,0.001304,0.001670,1.666,continue
forward,45.268,1410.50,1137.5294,0.002909,0.001771,1.667,continue
forward,45.569,1410.00,1137.1111,-0.006774,0.002858,1.666,continue
forward,45.888,1409.50,1136.6842,0.000352,0.000586,1.666,continue
forward,46.190,1409.00,1136.2941,0.001588,0.001992,1.666,continue
forward,46.511,1408.50,1135.8947,-0.006215,0.002738,1.667,continue
forward,46.815,1408.00,1135.4737,0.004020,0.002689,1.667,continue
forward,47.116,1407.50,1135.0556,0.001957,0.000600,1.666,continue
forward,47.432,1407.00,1134.6667,-0.002992,0.001952,1.667,continue
forward,47.752,1406.50,1134.2778,-0.005912,0.003698,1.667,continue
forward,48.056,1406.00,1133.8889,0.005925,0.000619,1.666,continue
forward,48.357,1405.50,1133.4706,0.022427,0.009235,1.676,continue
forward,48.431,1405.00,1133.0000,0.068859,0.029308,1.690,breakaway
reverse,50.767,1520.00,1225.8235,0.008652,0.004103,1.361,continue
reverse,51.084,1520.50,1226.2222,0.001608,0.003051,1.362,continue
reverse,51.385,1521.00,1226.6111,-0.000123,0.002661,1.361,continue
reverse,51.705,1521.50,1227.0000,0.005287,0.004730,1.361,continue
reverse,52.009,1522.00,1227.4444,-0.005405,0.001296,1.361,continue
reverse,52.314,1522.50,1227.8333,0.002120,0.003174,1.362,continue
reverse,52.623,1523.00,1228.2222,0.002523,0.003237,1.361,continue
reverse,52.944,1523.50,1228.6316,-0.002224,0.001860,1.361,continue
reverse,53.269,1524.00,1229.0556,-0.002030,0.001675,1.362,continue
reverse,53.569,1524.50,1229.4375,-0.000475,0.001909,1.361,continue
reverse,53.884,1525.00,1229.8333,0.003033,0.002086,1.362,continue
reverse,54.202,1525.50,1230.2222,0.005415,0.004015,1.362,continue
reverse,54.505,1526.00,1230.6316,0.003549,0.004481,1.361,continue
reverse,54.821,1526.50,1231.0556,-0.001915,0.002561,1.362,continue
reverse,55.140,1527.00,1231.4444,0.001656,0.003150,1.361,continue
reverse,55.442,1527.50,1231.8333,-0.006096,0.001177,1.362,continue
reverse,55.744,1528.00,1232.2353,0.002447,0.003079,1.361,continue
reverse,56.045,1528.50,1232.6471,0.004209,0.004436,1.361,continue
reverse,56.364,1529.00,1233.0556,-0.000967,0.003514,1.361,continue
reverse,56.666,1529.50,1233.4444,0.002425,0.003195,1.361,continue
reverse,56.979,1530.00,1233.8824,0.001843,0.003412,1.361,continue
reverse,57.280,1530.50,1234.2941,-0.003906,0.001460,1.361,continue
reverse,57.596,1531.00,1234.6667,-0.001981,0.002384,1.362,continue
reverse,57.899,1531.50,1235.0556,-0.001123,0.002878,1.361,continue
reverse,58.207,1532.00,1235.5000,-0.004188,0.001218,1.361,continue
reverse,58.515,1532.50,1235.8889,-0.003181,0.001362,1.361,continue
reverse,58.816,1533.00,1236.2778,-0.001300,0.001808,1.362,continue
reverse,59.129,1533.50,1236.6667,-0.003821,0.001487,1.361,continue
reverse,59.438,1534.00,1237.1111,0.004601,0.004728,1.361,continue
reverse,59.758,1534.50,1237.5000,0.000425,0.002944,1.360,continue
reverse,60.059,1535.00,1237.8824,0.000055,0.003081,1.361,continue
reverse,60.380,1535.50,1238.3333,-0.005107,0.001724,1.361,continue
reverse,60.684,1536.00,1238.6875,-0.003091,0.001660,1.362,continue
reverse,61.000,1536.50,1239.1111,0.002929,0.003706,1.361,continue
reverse,61.310,1537.00,1239.5263,0.004018,0.004194,1.361,continue
reverse,61.614,1537.50,1239.9412,-0.005218,0.002168,1.361,continue
reverse,61.915,1538.00,1240.3125,-0.001234,0.003133,1.361,continue
reverse,62.225,1538.50,1240.7059,-0.003754,0.002120,1.361,continue
reverse,62.536,1539.00,1241.1176,-0.002459,0.001942,1.360,continue
reverse,62.839,1539.50,1241.5294,0.001070,0.002986,1.361,continue
reverse,63.146,1540.00,1241.9412,-0.002566,0.002016,1.361,continue
reverse,63.453,1540.50,1242.3333,-0.000105,0.003474,1.361,continue
reverse,63.774,1541.00,1242.7368,-0.004390,0.002338,1.361,continue
reverse,64.094,1541.50,1243.1579,0.001262,0.003613,1.361,continue
reverse,64.399,1542.00,1243.5294,0.001619,0.003132,1.360,continue
reverse,64.707,1542.50,1243.9444,-0.000887,0.002935,1.361,continue
reverse,65.014,1543.00,1244.3529,-0.002002,0.002924,1.362,continue
reverse,65.327,1543.50,1244.7778,0.000480,0.003832,1.361,continue
reverse,65.633,1544.00,1245.1875,-0.007369,0.001451,1.361,continue
reverse,65.952,1544.50,1245.5556,0.000244,0.002936,1.361,continue
reverse,66.270,1545.00,1245.9474,0.000206,0.003043,1.361,continue
reverse,66.574,1545.50,1246.3529,-0.001505,0.001890,1.362,continue
reverse,66.895,1546.00,1246.7500,-0.001890,0.001083,1.362,continue
reverse,67.204,1546.50,1247.1667,0.001944,0.002475,1.362,continue
reverse,67.523,1547.00,1247.5789,0.003956,0.003536,1.360,continue
reverse,67.825,1547.50,1248.0000,0.001874,0.003731,1.361,continue
reverse,68.145,1548.00,1248.3684,-0.003953,0.000950,1.362,continue
reverse,68.449,1548.50,1248.7778,0.003695,0.003272,1.362,continue
