segment,elapsed_s,target_mps,measured_mps,error_mps,feedforward_us,command_us,tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,distance_m,overspeed_supervisor
1,4.9451,0.25,0.037515,0.212485,1417.743,1417.743,1143,0,1783737198.506853819,0.137808,0.069389,0.031700,0.019882,0
1,4.9662,0.25,0.037515,0.212485,1417.743,1417.743,1144,0,1783737198.506853819,0.137808,0.069389,0.031700,0.019882,0
1,4.9872,0.25,0.037515,0.212485,1417.743,1417.743,1143,0,1783737198.506853819,0.137808,0.069389,0.031700,0.019882,0
1,5.0081,0.25,0.037515,0.212485,1417.743,1417.743,1143,0,1783737198.506853819,0.137808,0.069389,0.031700,0.019882,0
1,5.0235,0.25,0.059518,0.190482,1417.743,1414.643,1141,1,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.0330,0.25,0.059518,0.190482,1417.743,1414.643,1141,0,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.0540,0.25,0.059518,0.190482,1417.743,1414.643,1141,0,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.0750,0.25,0.059518,0.190482,1417.743,1414.643,1141,0,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.0960,0.25,0.059518,0.190482,1417.743,1414.643,1141,0,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.1169,0.25,0.059518,0.190482,1417.743,1414.643,1140,0,1783737198.605137825,0.150180,0.068511,0.031881,0.031967,0
1,5.1239,0.25,0.070563,0.179437,1417.743,1414.154,1141,1,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.1386,0.25,0.070563,0.179437,1417.743,1414.154,1140,0,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.1599,0.25,0.070563,0.179437,1417.743,1414.154,1141,0,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.1809,0.25,0.070563,0.179437,1417.743,1414.154,1140,0,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.2018,0.25,0.070563,0.179437,1417.743,1414.154,1141,0,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.2228,0.25,0.070563,0.179437,1417.743,1414.154,1140,0,1783737198.705528021,0.160625,0.067549,0.031013,0.042300,0
1,5.2246,0.25,0.077606,0.172394,1417.743,1414.295,1141,1,1783737198.806063652,0.170433,0.071719,0.029461,0.052457,0
1,5.2435,0.25,0.077606,0.172394,1417.743,1414.295,1140,0,1783737198.806063652,0.170433,0.071719,0.029461,0.052457,0
1,5.2646,0.25,0.077606,0.172394,1417.743,1414.295,1141,0,1783737198.806063652,0.170433,0.071719,0.029461,0.052457,0
1,5.2855,0.25,0.077606,0.172394,1417.743,1414.295,1140,0,1783737198.806063652,0.170433,0.071719,0.029461,0.052457,0
