trial,direction,phase,elapsed_s,pulse_us,tick,signed_speed_mps,acceleration_mps2,distance_m,clearance_m
1,forward,kick,4.5876,1401.00,1130,0.005215,0.000000,0.003296,0.700
1,forward,kick,4.5967,1401.00,1130,0.005215,0.000000,0.003296,0.713
1,forward,kick,4.6168,1401.00,1130,0.003839,-0.068354,0.003447,0.713
1,forward,kick,4.6378,1401.00,1129,0.003839,0.000000,0.003447,0.713
1,forward,kick,4.6587,1401.00,1130,0.003839,0.000000,0.003447,0.713
1,forward,kick,4.6796,1401.00,1130,0.003839,0.000000,0.003447,0.713
1,forward,kick,4.6973,1401.00,1130,0.003839,0.000000,0.003447,0.698
1,forward,kick,4.7037,1401.00,1130,0.003424,-0.064705,0.003287,0.698
1,forward,kick,4.7247,1401.00,1130,0.003424,0.000000,0.003287,0.698
1,forward,kick,4.7456,1401.00,1129,0.003424,0.000000,0.003287,0.698
1,forward,kick,4.7665,1401.00,1130,0.003424,0.000000,0.003287,0.698
1,forward,kick,4.7874,1401.00,1130,0.003424,0.000000,0.003287,0.698
1,forward,kick,4.7950,1401.00,1130,0.003424,0.000000,0.003287,0.722
1,forward,kick,4.8092,1401.00,1130,0.018249,1.045551,0.003361,0.722
1,forward,kick,4.8302,1401.00,1130,0.018249,0.000000,0.003361,0.722
1,forward,kick,4.8511,1401.00,1129,0.018249,0.000000,0.003361,0.722
1,forward,kick,4.8720,1401.00,1130,0.018249,0.000000,0.003361,0.722
1,forward,kick,4.8929,1401.00,1130,0.018249,0.000000,0.003361,0.722
1,forward,kick,4.8954,1401.00,1130,0.018249,0.000000,0.003361,0.704
1,forward,kick,4.9164,1401.00,1130,0.018249,0.000000,0.003361,0.704
1,forward,kick,4.9177,1401.00,1130,0.058141,31.710721,0.020861,0.704
1,forward,sustain,4.9386,1414.00,1140,0.058141,0.000000,0.020861,0.704
1,forward,sustain,4.9595,1414.00,1141,0.058141,0.000000,0.020861,0.704
1,forward,sustain,4.9804,1414.00,1140,0.058141,0.000000,0.020861,0.704
1,forward,sustain,4.9935,1414.00,1140,0.058141,0.000000,0.020861,0.719
1,forward,sustain,5.0059,1414.00,1141,0.114382,4.532560,0.049080,0.719
1,forward,sustain,5.0269,1414.00,1140,0.114382,0.000000,0.049080,0.719
1,forward,sustain,5.0479,1414.00,1140,0.114382,0.000000,0.049080,0.719
1,forward,sustain,5.0688,1414.00,1141,0.114382,0.000000,0.049080,0.719
1,forward,sustain,5.0897,1414.00,1140,0.114382,0.000000,0.049080,0.719
1,forward,sustain,5.0940,1414.00,1140,0.114382,0.000000,0.049080,0.702
1,forward,sustain,5.1075,1414.00,1141,0.163941,3.657887,0.079771,0.702
1,forward,sustain,5.1286,1414.00,1140,0.163941,0.000000,0.079771,0.702
1,forward,sustain,5.1495,1414.00,1140,0.163941,0.000000,0.079771,0.702
1,forward,sustain,5.1704,1414.00,1141,0.163941,0.000000,0.079771,0.702
1,forward,sustain,5.1915,1414.00,1140,0.163941,0.000000,0.079771,0.702
1,forward,sustain,5.1945,1414.00,1140,0.163941,0.000000,0.079771,0.702
1,forward,sustain,5.2154,1414.00,1140,0.214005,2.394410,0.116404,0.702
1,forward,sustain,5.2365,1414.00,1141,0.214005,0.000000,0.116404,0.702
1,forward,sustain,5.2576,1414.00,1140,0.214005,0.000000,0.116404,0.702
1,forward,sustain,5.2786,1414.00,1140,0.214005,0.000000,0.116404,0.702
1,forward,sustain,5.2951,1414.00,1141,0.214005,0.000000,0.116404,0.710
1,forward,sustain,5.3107,1414.00,1140,0.231431,1.118082,0.144898,0.710
1,forward,sustain,5.3316,1414.00,1140,0.231431,0.000000,0.144898,0.710
