stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.3724,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,0.0000165,0.0001464,0.000016,0.000000,0.000000,0.760,1.923
warmup,center,0,forward,3.3834,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,,,0.000016,0.000000,0.000000,0.760,1.923
warmup,center,0,forward,3.4051,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,,,0.000016,0.000000,0.000000,0.760,1.923
warmup,center,0,forward,3.4267,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,,,0.000016,0.000000,0.000000,0.760,1.923
warmup,center,0,forward,3.4482,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,,,0.000016,0.000000,0.000000,0.760,1.923
warmup,center,0,forward,3.4697,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746224.794563293,-0.183494,-0.964092,0.898486,-0.001367,,,0.000016,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.4722,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,-0.0007785,-0.0002777,0.000795,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.4851,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,,,0.000795,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.5067,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,,,0.000795,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.5283,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,,,0.000795,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.5499,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,,,0.000795,0.000000,0.000000,0.753,2.187
warmup,center,0,forward,3.5718,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746224.894641161,-0.184869,-0.963993,0.898208,-0.002970,,,0.000795,0.000000,0.000000,0.755,2.185
warmup,center,0,forward,3.5747,1450.000,1169,startup,1419.664,1145,1419.384,0.000,1,3,1783746224.992790699,-0.185433,-0.964850,0.898409,-0.004831,-0.0010221,0.0002009,0.001817,0.000000,0.000000,0.755,2.185
warmup,center,0,forward,3.5803,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746224.992790699,-0.185433,-0.964850,0.898409,-0.004831,,,0.001817,0.000000,0.000000,0.755,2.185
warmup,center,0,forward,3.6020,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746224.992790699,-0.185433,-0.964850,0.898409,-0.004831,,,0.001817,0.000000,0.000000,0.755,2.185
