stage,side,candidate,direction,elapsed_s,steering_pulse_us,steering_tick,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,fresh_in_leg,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
warmup,center,0,forward,3.3874,1450.000,1169,startup,1423.384,1148,1419.384,0.000,0,0,1783746694.152050257,0.242760,-0.444793,0.844142,-0.007774,,,0.000000,0.000000,0.000000,1.330,1.544
warmup,center,0,forward,3.4097,1450.000,1169,startup,1422.144,1147,1419.384,0.000,1,1,1783746694.249985695,0.241377,-0.444886,0.843815,-0.008354,-0.0009885,-0.0003271,0.000988,0.000000,0.000000,1.330,1.544
warmup,center,0,forward,3.4122,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746694.249985695,0.241377,-0.444886,0.843815,-0.008354,,,0.000988,0.000000,0.000000,1.330,1.544
warmup,center,0,forward,3.4341,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746694.249985695,0.241377,-0.444886,0.843815,-0.008354,,,0.000988,0.000000,0.000000,1.330,1.544
warmup,center,0,forward,3.4559,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746694.249985695,0.241377,-0.444886,0.843815,-0.008354,,,0.000988,0.000000,0.000000,1.330,1.544
warmup,center,0,forward,3.4776,1450.000,1169,startup,1422.144,1147,1419.384,0.000,0,0,1783746694.249985695,0.241377,-0.444886,0.843815,-0.008354,,,0.000988,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.4888,1450.000,1169,startup,1420.904,1146,1419.384,0.000,1,2,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,0.0002422,-0.0005475,0.001231,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.4967,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,,,0.001231,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.5184,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,,,0.001231,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.5399,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,,,0.001231,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.5614,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,,,0.001231,0.000000,0.000000,1.331,1.543
warmup,center,0,forward,3.5829,1450.000,1169,startup,1420.904,1146,1419.384,0.000,0,0,1783746694.350635290,0.240468,-0.443753,0.843268,-0.005664,,,0.001231,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.5867,1450.000,1169,startup,1419.664,1145,1419.384,0.000,1,3,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,0.0006082,-0.0006534,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.5984,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,,,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.6200,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,,,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.6415,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,,,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.6631,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,,,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.6849,1450.000,1169,startup,1419.664,1145,1419.384,0.000,0,0,1783746694.450941324,0.239451,-0.442032,0.842614,-0.002732,,,0.001839,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.6874,1450.000,1169,startup,1418.424,1144,1419.384,0.000,1,4,1783746694.548940182,0.244563,-0.442310,0.844726,0.006088,0.0031898,0.0021121,0.005029,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.7078,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783746694.548940182,0.244563,-0.442310,0.844726,0.006088,,,0.005029,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.7295,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783746694.548940182,0.244563,-0.442310,0.844726,0.006088,,,0.005029,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.7513,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783746694.548940182,0.244563,-0.442310,0.844726,0.006088,,,0.005029,0.000000,0.000000,1.333,1.541
warmup,center,0,forward,3.7731,1450.000,1169,startup,1418.424,1144,1419.384,0.000,0,0,1783746694.548940182,0.244563,-0.442310,0.844726,0.006088,,,0.005029,0.000000,0.000000,1.335,1.540
warmup,center,0,forward,3.7876,1450.000,1169,startup,1415.324,1141,1419.384,0.000,1,5,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,-0.0095916,-0.0013584,0.014620,0.000000,0.000000,1.335,1.540
warmup,center,0,forward,3.8093,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,,,0.014620,0.000000,0.000000,1.335,1.540
warmup,center,0,forward,3.8310,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,,,0.014620,0.000000,0.000000,1.335,1.540
warmup,center,0,forward,3.8525,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,,,0.014620,0.000000,0.000000,1.335,1.540
warmup,center,0,forward,3.8739,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,,,0.014620,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.8878,1450.000,1169,startup,1415.324,1141,1419.384,0.000,0,0,1783746694.649262667,0.235876,-0.447422,0.843368,-0.019336,,,0.014620,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.9096,1450.000,1169,startup,1412.224,1139,1419.384,0.000,1,6,1783746694.749845982,0.244132,-0.438875,0.842817,0.015008,0.0118729,-0.0005514,0.026493,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.9174,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783746694.749845982,0.244132,-0.438875,0.842817,0.015008,,,0.026493,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.9391,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783746694.749845982,0.244132,-0.438875,0.842817,0.015008,,,0.026493,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.9609,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783746694.749845982,0.244132,-0.438875,0.842817,0.015008,,,0.026493,0.000000,0.000000,1.334,1.540
warmup,center,0,forward,3.9824,1450.000,1169,startup,1412.224,1139,1419.384,0.000,0,0,1783746694.749845982,0.244132,-0.438875,0.842817,0.015008,,,0.026493,0.000000,0.000000,1.334,1.539
warmup,center,0,forward,3.9884,1450.000,1169,startup,1409.124,1136,1419.384,0.000,1,7,1783746694.849995613,0.247019,-0.433557,0.842419,0.025962,0.0058912,-0.0003976,0.032384,0.000000,0.000000,1.334,1.539
warmup,center,0,forward,4.0075,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783746694.849995613,0.247019,-0.433557,0.842419,0.025962,,,0.032384,0.000000,0.000000,1.334,1.539
warmup,center,0,forward,4.0292,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783746694.849995613,0.247019,-0.433557,0.842419,0.025962,,,0.032384,0.000000,0.000000,1.334,1.539
warmup,center,0,forward,4.0507,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783746694.849995613,0.247019,-0.433557,0.842419,0.025962,,,0.032384,0.000000,0.000000,1.334,1.539
warmup,center,0,forward,4.0723,1450.000,1169,startup,1409.124,1136,1419.384,0.000,0,0,1783746694.849995613,0.247019,-0.433557,0.842419,0.025962,,,0.032384,0.000000,0.000000,1.338,1.538
