stage,side,candidate,pulse_us,forward_curvature_1pm,forward_curvature_se_1pm,reverse_curvature_1pm,reverse_curvature_se_1pm,mean_curvature_1pm,direction_disagreement_1pm,effective_angle_deg,inner_wheel_angle_deg,outer_wheel_angle_deg,incremental_gain_1pm_per_us,recovery_events,clean_mobile,stop_reason
probe,lower,1,1400.0,-0.1348241241880018,0.012724817816837054,-0.21780529169435106,0.01577073630717828,-0.17631470794117643,0.04149058375317463,-2.80109585424606,-2.863344395625824,-2.741494245169691,nan,0,True,
probe,upper,1,1500.0,0.1554638232806235,0.008580182635601952,0.08359624058646495,0.006971975595929788,0.11953003193354422,0.035933791347079275,1.8997806413974343,1.9282239905273066,1.872163938823053,nan,0,True,traction recovery required
search,lower,2,1350.0,-0.2657527958565772,0.006444407596163345,-0.3607955061759383,0.003539455169961824,-0.3132741510162578,0.04752135515968056,-4.968435949466273,-5.16733618810087,-4.784245944213952,0.002739188861501627,0,True,
search,lower,3,1295.997746991323,-0.4610492200016338,0.02641291790196606,-0.5188525812947591,0.016148122317119082,-0.48995090064819646,0.02890168064656265,-7.742537671011856,-8.234568301324542,-7.305689945237397,0.003271655158601458,0,True,
search,lower,4,1250.7844336173694,-0.6012723608111815,0.01979808574029052,-0.6606419246252883,0.01641671625655493,-0.6309571427182349,0.02968478190705337,-9.931282571334378,-10.751730781876839,-9.226162036158152,0.0031186885354716853,0,True,
search,lower,5,1203.3534804282629,-0.7681622290246091,0.030006855418060363,-0.8005148332710269,0.01913805786006779,-0.7843385311478179,0.01617630212320892,-12.279141932114317,-13.549812450481468,-11.223555561764114,0.0032337825431855444,0,True,
search,lower,6,1157.6106489416272,-0.9009687545290471,0.035223085590300254,-0.9262376973675641,0.026736273220484195,-0.9136032259483056,0.012634471419258497,-14.226166774824504,-15.948247052876345,-12.834077140155365,0.0028259005968673816,0,True,
search,lower,7,1105.2654354895553,-1.0737601928353508,0.01905058408390293,-1.0676556123004117,0.020002557264507146,-1.0707079025678814,0.0030522902674695596,-16.54781344871635,-18.90107534748397,-14.7040634405653,0.0030013188648743117,0,True,
search,lower,8,1055.9796459426473,-1.2057639500618376,0.03305478021345139,-1.2011841937007972,0.011964660042791715,-1.2034740718813173,0.0022898781805201773,-18.46746658439657,-21.418399234277764,-16.21179664148468,0.002693802220355521,0,True,candidate budget exhausted without plateau
search,upper,2,1550.0,0.2958399423140318,0.010462361236033895,0.21636920046204042,0.008588555001205542,0.2561045713880361,0.0397353709259957,4.065119968147329,4.197427740690853,3.94088554287011,0.002731490789089838,1,False,traction recovery required
