direction,block,elapsed_s,block_elapsed_s,target_speed_mps,target_curvature_1pm,steering_pulse_us,steering_tick,approach_direction,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,transition_sample,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,block_motion_m,direction_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
forward,1,3.0304,0.0000,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,1,1,1783744924.546609879,-0.464540,-0.762225,0.840667,0.008369,0.0048276,0.0017873,0.3702219,0.004828,0.004828,0.000000,0.000000,0.901,1.490
forward,1,3.0504,0.0201,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783744924.546609879,-0.464540,-0.762225,0.840667,0.008369,,,,0.004828,0.004828,0.000000,0.000000,0.901,1.490
forward,1,3.0721,0.0417,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783744924.546609879,-0.464540,-0.762225,0.840667,0.008369,,,,0.004828,0.004828,0.000000,0.000000,0.901,1.490
forward,1,3.0937,0.0634,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783744924.546609879,-0.464540,-0.762225,0.840667,0.008369,,,,0.004828,0.004828,0.000000,0.000000,0.901,1.490
forward,1,3.1153,0.0850,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783744924.546609879,-0.464540,-0.762225,0.840667,0.008369,,,,0.004828,0.004828,0.000000,0.000000,0.901,1.526
forward,1,3.1304,0.1001,0.2000,0.00000,1450.000,1169,same,startup,1420.904,1146,1419.384,0.000,1,2,1783744924.646900654,-0.465009,-0.762253,0.839995,0.005445,-0.0003337,-0.0006718,2.0129533,0.005161,0.005161,0.000000,0.000000,0.901,1.526
forward,1,3.1453,0.1149,0.2000,0.00000,1450.000,1169,same,startup,1420.904,1146,1419.384,0.000,0,0,1783744924.646900654,-0.465009,-0.762253,0.839995,0.005445,,,,0.005161,0.005161,0.000000,0.000000,0.901,1.526
forward,1,3.1669,0.1365,0.2000,0.00000,1450.000,1169,same,startup,1420.904,1146,1419.384,0.000,0,0,1783744924.646900654,-0.465009,-0.762253,0.839995,0.005445,,,,0.005161,0.005161,0.000000,0.000000,0.901,1.526
forward,1,3.1884,0.1581,0.2000,0.00000,1450.000,1169,same,startup,1420.904,1146,1419.384,0.000,0,0,1783744924.646900654,-0.465009,-0.762253,0.839995,0.005445,,,,0.005161,0.005161,0.000000,0.000000,0.901,1.526
forward,1,3.2099,0.1796,0.2000,0.00000,1450.000,1169,same,startup,1420.904,1146,1419.384,0.000,0,0,1783744924.646900654,-0.465009,-0.762253,0.839995,0.005445,,,,0.005161,0.005161,0.000000,0.000000,0.902,1.482
forward,1,3.2279,0.1976,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,1,3,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,-0.0002247,-0.0002247,1.0000601,0.005386,0.005386,0.000000,0.000000,0.902,1.482
forward,1,3.2398,0.2094,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,0,0,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,,,,0.005386,0.005386,0.000000,0.000000,0.902,1.482
forward,1,3.2614,0.2311,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,0,0,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,,,,0.005386,0.005386,0.000000,0.000000,0.902,1.482
forward,1,3.2830,0.2526,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,0,0,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,,,,0.005386,0.005386,0.000000,0.000000,0.902,1.482
forward,1,3.3045,0.2742,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,0,0,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,,,,0.005386,0.005386,0.000000,0.000000,0.902,1.482
forward,1,3.3261,0.2958,0.2000,0.00000,1450.000,1169,same,startup,1419.664,1145,1419.384,0.000,0,0,1783744924.747126818,-0.464035,-0.763428,0.839771,0.003523,,,,0.005386,0.005386,0.000000,0.000000,0.905,1.481
forward,1,3.3290,0.2986,0.2000,0.00000,1450.000,1169,same,startup,1418.424,1144,1419.384,0.000,1,4,1783744924.844776392,-0.464056,-0.760165,0.840650,0.008827,0.0024157,0.0008796,0.3641242,0.007802,0.007802,0.000000,0.000000,0.905,1.481
forward,1,3.3432,0.3128,0.2000,0.00000,1450.000,1169,same,startup,1418.424,1144,1419.384,0.000,0,0,1783744924.844776392,-0.464056,-0.760165,0.840650,0.008827,,,,0.007802,0.007802,0.000000,0.000000,0.905,1.481
forward,1,3.3648,0.3345,0.2000,0.00000,1450.000,1169,same,startup,1418.424,1144,1419.384,0.000,0,0,1783744924.844776392,-0.464056,-0.760165,0.840650,0.008827,,,,0.007802,0.007802,0.000000,0.000000,0.905,1.481
forward,1,3.3863,0.3560,0.2000,0.00000,1450.000,1169,same,startup,1418.424,1144,1419.384,0.000,0,0,1783744924.844776392,-0.464056,-0.760165,0.840650,0.008827,,,,0.007802,0.007802,0.000000,0.000000,0.905,1.481
forward,1,3.4079,0.3775,0.2000,0.00000,1450.000,1169,same,startup,1418.424,1144,1419.384,0.000,0,0,1783744924.844776392,-0.464056,-0.760165,0.840650,0.008827,,,,0.007802,0.007802,0.000000,0.000000,0.907,1.466
forward,1,3.4267,0.3964,0.2000,0.00000,1450.000,1169,same,startup,1415.324,1141,1419.384,0.000,1,5,1783744924.945652246,-0.464158,-0.761513,0.839479,0.003964,-0.0010718,-0.0011714,1.0929219,0.008873,0.008873,0.000000,0.000000,0.907,1.466
