direction,block,elapsed_s,block_elapsed_s,target_speed_mps,target_curvature_1pm,steering_pulse_us,steering_tick,approach_direction,controller_state,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,fresh_odom,transition_sample,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,block_motion_m,direction_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
forward,1,3.0164,0.0000,0.2000,0.00000,1450.000,1169,same,startup,1423.384,1148,1419.384,0.000,0,0,1783745373.407500982,-0.344721,-0.757989,0.718434,-0.005143,,,,0.000000,0.000000,0.000000,0.000000,0.990,2.088
forward,1,3.0382,0.0219,0.2000,0.00000,1450.000,1169,same,startup,1423.384,1148,1419.384,0.000,0,0,1783745373.407500982,-0.344721,-0.757989,0.718434,-0.005143,,,,0.000000,0.000000,0.000000,0.000000,0.990,2.088
forward,1,3.0598,0.0434,0.2000,0.00000,1450.000,1169,same,startup,1423.384,1148,1419.384,0.000,0,0,1783745373.407500982,-0.344721,-0.757989,0.718434,-0.005143,,,,0.000000,0.000000,0.000000,0.000000,0.990,2.088
forward,1,3.0814,0.0650,0.2000,0.00000,1450.000,1169,same,startup,1423.384,1148,1419.384,0.000,0,0,1783745373.407500982,-0.344721,-0.757989,0.718434,-0.005143,,,,0.000000,0.000000,0.000000,0.000000,0.990,2.088
forward,1,3.1031,0.0867,0.2000,0.00000,1450.000,1169,same,startup,1423.384,1148,1419.384,0.000,0,0,1783745373.407500982,-0.344721,-0.757989,0.718434,-0.005143,,,,0.000000,0.000000,0.000000,0.000000,0.990,2.087
forward,1,3.1056,0.0892,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,1,1,1783745373.507555246,-0.347818,-0.764060,0.719998,-0.019671,-0.0063291,0.0015640,-0.2471167,0.006329,0.006329,0.000000,0.000000,0.990,2.087
forward,1,3.1213,0.1049,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783745373.507555246,-0.347818,-0.764060,0.719998,-0.019671,,,,0.006329,0.006329,0.000000,0.000000,0.990,2.087
forward,1,3.1429,0.1265,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783745373.507555246,-0.347818,-0.764060,0.719998,-0.019671,,,,0.006329,0.006329,0.000000,0.000000,0.990,2.087
forward,1,3.1644,0.1480,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783745373.507555246,-0.347818,-0.764060,0.719998,-0.019671,,,,0.006329,0.006329,0.000000,0.000000,0.990,2.087
forward,1,3.1859,0.1696,0.2000,0.00000,1450.000,1169,same,startup,1422.144,1147,1419.384,0.000,0,0,1783745373.507555246,-0.347818,-0.764060,0.719998,-0.019671,,,,0.006329,0.006329,0.000000,0.000000,0.990,2.085
