condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3506,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1423.384,1148,0,1783738409.783358812,-0.259007,-0.020705,0.145332,-0.001258,,,,,0.000000,0.000000,0.000000,0.689,1.283
1,1,4.3716,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1423.384,1148,0,1783738409.783358812,-0.259007,-0.020705,0.145332,-0.001258,,,,,0.000000,0.000000,0.000000,0.689,1.283
1,1,4.3926,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1423.384,1148,0,1783738409.783358812,-0.259007,-0.020705,0.145332,-0.001258,,,,,0.000000,0.000000,0.000000,0.688,1.283
1,1,4.4060,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,1,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,0.0015650,0.0007067,0.4515755,0.1246624,0.001565,0.000000,0.000000,0.688,1.283
1,1,4.4183,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,,,,,0.001565,0.000000,0.000000,0.688,1.283
1,1,4.4394,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,,,,,0.001565,0.000000,0.000000,0.688,1.283
1,1,4.4604,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,,,,,0.001565,0.000000,0.000000,0.688,1.283
1,1,4.4813,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,,,,,0.001565,0.000000,0.000000,0.688,1.283
1,1,4.5024,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738409.884160995,-0.257489,-0.020275,0.146039,0.002938,,,,,0.001565,0.000000,0.000000,0.689,1.285
1,1,4.5043,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,1,1783738409.984067917,-0.257843,-0.022914,0.147506,0.000359,-0.0007371,0.0014673,-1.9907138,-0.5047016,0.002302,0.000000,0.000000,0.689,1.285
