condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3693,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1423.384,1148,0,1783738811.499361753,-0.367721,0.229102,0.144480,0.000133,,,,,0.000000,0.000000,0.000000,0.793,1.223
1,1,4.3904,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1423.384,1148,0,1783738811.499361753,-0.367721,0.229102,0.144480,0.000133,,,,,0.000000,0.000000,0.000000,0.790,1.223
1,1,4.3936,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,1,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,-0.0005878,0.0002904,-0.4939671,-0.1362269,0.000588,0.000000,0.000000,0.790,1.223
1,1,4.4028,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,,,,,0.000588,0.000000,0.000000,0.790,1.223
1,1,4.4239,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,,,,,0.000588,0.000000,0.000000,0.790,1.223
1,1,4.4450,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,,,,,0.000588,0.000000,0.000000,0.790,1.223
1,1,4.4660,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,,,,,0.000588,0.000000,0.000000,0.790,1.223
1,1,4.4869,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1422.144,1147,0,1783738811.600105762,-0.368277,0.228844,0.144770,-0.001359,,,,,0.000588,0.000000,0.000000,0.791,1.222
1,1,4.4917,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,1,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,-0.0020231,-0.0006955,0.3437808,0.0951113,0.002611,0.000000,0.000000,0.791,1.222
1,1,4.5044,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,0,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,,,,,0.002611,0.000000,0.000000,0.791,1.222
1,1,4.5254,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,0,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,,,,,0.002611,0.000000,0.000000,0.791,1.222
1,1,4.5463,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,0,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,,,,,0.002611,0.000000,0.000000,0.791,1.222
1,1,4.5672,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,0,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,,,,,0.002611,0.000000,0.000000,0.791,1.222
1,1,4.5882,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1420.904,1146,0,1783738811.700504780,-0.370381,0.229251,0.144075,-0.006057,,,,,0.002611,0.000000,0.000000,0.792,1.222
1,1,4.5923,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1419.664,1145,1,1783738811.798645973,-0.366956,0.230567,0.144567,0.004571,0.0035778,0.0004926,0.1376792,0.0381874,0.006189,0.000000,0.000000,0.792,1.222
1,1,4.6111,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1419.664,1145,0,1783738811.798645973,-0.366956,0.230567,0.144567,0.004571,,,,,0.006189,0.000000,0.000000,0.792,1.222
1,1,4.6321,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1419.664,1145,0,1783738811.798645973,-0.366956,0.230567,0.144567,0.004571,,,,,0.006189,0.000000,0.000000,0.792,1.222
1,1,4.6531,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1419.664,1145,0,1783738811.798645973,-0.366956,0.230567,0.144567,0.004571,,,,,0.006189,0.000000,0.000000,0.792,1.222
1,1,4.6742,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1419.664,1145,0,1783738811.798645973,-0.366956,0.230567,0.144567,0.004571,,,,,0.006189,0.000000,0.000000,0.789,1.222
1,1,4.6927,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,1,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,-0.0015389,0.0002054,-0.1334578,-0.0370176,0.007728,0.000000,0.000000,0.789,1.222
1,1,4.7026,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,0,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,,,,,0.007728,0.000000,0.000000,0.789,1.222
1,1,4.7236,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,0,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,,,,,0.007728,0.000000,0.000000,0.789,1.222
1,1,4.7445,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,0,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,,,,,0.007728,0.000000,0.000000,0.789,1.222
1,1,4.7655,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,0,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,,,,,0.007728,0.000000,0.000000,0.789,1.222
1,1,4.7864,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1418.424,1144,0,1783738811.899175167,-0.368191,0.228364,0.144773,-0.000398,,,,,0.007728,0.000000,0.000000,0.791,1.222
1,1,4.7909,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1415.324,1141,1,1783738811.999554157,-0.367390,0.228896,0.144427,0.001865,0.0008688,-0.0003460,-0.3982463,-0.1100667,0.008596,0.000000,0.000000,0.791,1.222
1,1,4.8082,startup,0.2000,forward,1500.000,1210,increasing,1470.000,1415.324,1141,0,1783738811.999554157,-0.367390,0.228896,0.144427,0.001865,,,,,0.008596,0.000000,0.000000,0.791,1.222
