condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3675,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1423.384,1148,0,1783739163.363942862,-0.256286,0.137363,0.483801,-0.003408,,,,,0.000000,0.000000,0.000000,0.798,1.153
1,1,4.3886,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1423.384,1148,0,1783739163.363942862,-0.256286,0.137363,0.483801,-0.003408,,,,,0.000000,0.000000,0.000000,0.799,1.154
1,1,4.4016,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,1,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,0.0002703,0.0011132,4.1178073,0.8518945,0.000270,0.000000,0.000000,0.799,1.154
1,1,4.4161,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,0,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,,,,,0.000270,0.000000,0.000000,0.799,1.154
1,1,4.4371,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,0,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,,,,,0.000270,0.000000,0.000000,0.799,1.154
1,1,4.4581,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,0,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,,,,,0.000270,0.000000,0.000000,0.799,1.154
1,1,4.4790,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,0,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,,,,,0.000270,0.000000,0.000000,0.799,1.154
1,1,4.4999,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1422.144,1147,0,1783739163.461617231,-0.255587,0.136616,0.484914,-0.001864,,,,,0.000270,0.000000,0.000000,0.798,1.153
1,1,4.5023,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,1,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,0.0032286,0.0004265,0.1321035,0.0366423,0.003499,0.000000,0.000000,0.798,1.153
1,1,4.5150,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,0,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,,,,,0.003499,0.000000,0.000000,0.798,1.153
1,1,4.5360,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,0,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,,,,,0.003499,0.000000,0.000000,0.798,1.153
1,1,4.5569,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,0,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,,,,,0.003499,0.000000,0.000000,0.798,1.153
1,1,4.5778,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,0,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,,,,,0.003499,0.000000,0.000000,0.798,1.153
1,1,4.5988,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1420.904,1146,0,1783739163.562051296,-0.251712,0.136189,0.485341,0.006639,,,,,0.003499,0.000000,0.000000,0.802,1.148
1,1,4.6009,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,1,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,0.0029445,0.0000183,0.0062267,0.0017279,0.006443,0.000000,0.000000,0.802,1.148
1,1,4.6087,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,0,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,,,,,0.006443,0.000000,0.000000,0.802,1.148
1,1,4.6298,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,0,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,,,,,0.006443,0.000000,0.000000,0.802,1.148
1,1,4.6507,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,0,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,,,,,0.006443,0.000000,0.000000,0.802,1.148
1,1,4.6717,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,0,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,,,,,0.006443,0.000000,0.000000,0.802,1.148
1,1,4.6927,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1419.664,1145,0,1783739163.662743330,-0.249362,0.138045,0.485359,0.012290,,,,,0.006443,0.000000,0.000000,0.807,1.141
1,1,4.7008,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,1,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,0.0041314,-0.0007938,-0.1921489,-0.0532709,0.010575,0.000000,0.000000,0.807,1.141
1,1,4.7108,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,0,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,,,,,0.010575,0.000000,0.000000,0.807,1.141
1,1,4.7319,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,0,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,,,,,0.010575,0.000000,0.000000,0.807,1.141
1,1,4.7528,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,0,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,,,,,0.010575,0.000000,0.000000,0.807,1.141
1,1,4.7737,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,0,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,,,,,0.010575,0.000000,0.000000,0.807,1.141
1,1,4.7948,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1418.424,1144,0,1783739163.760526896,-0.246094,0.140705,0.484565,0.019780,,,,,0.010575,0.000000,0.000000,0.811,1.135
1,1,4.8014,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1415.324,1141,1,1783739163.861210585,-0.240066,0.145042,0.484999,0.033097,0.0073549,0.0004331,0.0588861,0.0163394,0.017930,0.000000,0.000000,0.811,1.135
1,1,4.8175,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1415.324,1141,0,1783739163.861210585,-0.240066,0.145042,0.484999,0.033097,,,,,0.017930,0.000000,0.000000,0.811,1.135
1,1,4.8387,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1415.324,1141,0,1783739163.861210585,-0.240066,0.145042,0.484999,0.033097,,,,,0.017930,0.000000,0.000000,0.811,1.135
1,1,4.8596,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1415.324,1141,0,1783739163.861210585,-0.240066,0.145042,0.484999,0.033097,,,,,0.017930,0.000000,0.000000,0.811,1.135
1,1,4.8805,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1415.324,1141,0,1783739163.861210585,-0.240066,0.145042,0.484999,0.033097,,,,,0.017930,0.000000,0.000000,0.821,1.125
1,1,4.9018,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,1,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,0.0054157,0.0003975,0.0733906,0.0203631,0.023345,0.000000,0.000000,0.821,1.125
1,1,4.9168,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,0,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,,,,,0.023345,0.000000,0.000000,0.821,1.125
1,1,4.9380,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,0,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,,,,,0.023345,0.000000,0.000000,0.821,1.125
1,1,4.9590,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,0,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,,,,,0.023345,0.000000,0.000000,0.821,1.125
1,1,4.9799,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,0,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,,,,,0.023345,0.000000,0.000000,0.821,1.125
1,1,5.0009,startup,0.2000,forward,1440.000,1161,increasing,1410.000,1412.224,1139,0,1783739163.961776495,-0.235535,0.148062,0.485396,0.038286,,,,,0.023345,0.000000,0.000000,0.834,1.112
