condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3806,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1,1783739372.061678648,-0.119797,0.173071,0.639426,-0.000612,0.0018432,-0.0006860,-0.3721522,-0.1029074,0.001843,0.000000,0.000000,0.933,1.018
1,1,4.3958,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739372.061678648,-0.119797,0.173071,0.639426,-0.000612,,,,,0.001843,0.000000,0.000000,0.933,1.018
1,1,4.4174,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739372.061678648,-0.119797,0.173071,0.639426,-0.000612,,,,,0.001843,0.000000,0.000000,0.933,1.018
1,1,4.4389,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739372.061678648,-0.119797,0.173071,0.639426,-0.000612,,,,,0.001843,0.000000,0.000000,0.933,1.018
1,1,4.4605,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739372.061678648,-0.119797,0.173071,0.639426,-0.000612,,,,,0.001843,0.000000,0.000000,0.932,1.018
1,1,4.4817,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1,1783739372.162260771,-0.120501,0.173401,0.637985,-0.001376,-0.0003690,-0.0014418,3.9075687,0.8258445,0.002212,0.000000,0.000000,0.932,1.018
1,1,4.4967,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739372.162260771,-0.120501,0.173401,0.637985,-0.001376,,,,,0.002212,0.000000,0.000000,0.932,1.018
1,1,4.5183,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739372.162260771,-0.120501,0.173401,0.637985,-0.001376,,,,,0.002212,0.000000,0.000000,0.932,1.018
1,1,4.5398,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739372.162260771,-0.120501,0.173401,0.637985,-0.001376,,,,,0.002212,0.000000,0.000000,0.932,1.018
1,1,4.5613,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739372.162260771,-0.120501,0.173401,0.637985,-0.001376,,,,,0.002212,0.000000,0.000000,0.933,1.018
1,1,4.5821,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,1,1783739372.262742996,-0.118684,0.171453,0.639568,-0.000293,0.0002970,0.0015831,5.3308091,0.9763630,0.002509,0.000000,0.000000,0.933,1.018
1,1,4.5993,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739372.262742996,-0.118684,0.171453,0.639568,-0.000293,,,,,0.002509,0.000000,0.000000,0.933,1.018
1,1,4.6212,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739372.262742996,-0.118684,0.171453,0.639568,-0.000293,,,,,0.002509,0.000000,0.000000,0.933,1.018
1,1,4.6427,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739372.262742996,-0.118684,0.171453,0.639568,-0.000293,,,,,0.002509,0.000000,0.000000,0.933,1.018
1,1,4.6642,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739372.262742996,-0.118684,0.171453,0.639568,-0.000293,,,,,0.002509,0.000000,0.000000,0.936,1.015
1,1,4.6830,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,1,1783739372.363195419,-0.117868,0.173000,0.639911,0.003708,0.0015784,0.0003429,0.2172287,0.0602081,0.004088,0.000000,0.000000,0.936,1.015
1,1,4.6941,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739372.363195419,-0.117868,0.173000,0.639911,0.003708,,,,,0.004088,0.000000,0.000000,0.936,1.015
1,1,4.7157,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739372.363195419,-0.117868,0.173000,0.639911,0.003708,,,,,0.004088,0.000000,0.000000,0.936,1.015
1,1,4.7373,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739372.363195419,-0.117868,0.173000,0.639911,0.003708,,,,,0.004088,0.000000,0.000000,0.936,1.015
1,1,4.7589,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739372.363195419,-0.117868,0.173000,0.639911,0.003708,,,,,0.004088,0.000000,0.000000,0.937,1.012
1,1,4.7807,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,1,1783739372.463824034,-0.114053,0.176569,0.638795,0.015678,0.0051911,-0.0011158,-0.2149442,-0.0595764,0.009279,0.000000,0.000000,0.937,1.012
1,1,4.7968,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739372.463824034,-0.114053,0.176569,0.638795,0.015678,,,,,0.009279,0.000000,0.000000,0.937,1.012
1,1,4.8184,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739372.463824034,-0.114053,0.176569,0.638795,0.015678,,,,,0.009279,0.000000,0.000000,0.937,1.012
1,1,4.8400,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739372.463824034,-0.114053,0.176569,0.638795,0.015678,,,,,0.009279,0.000000,0.000000,0.937,1.012
1,1,4.8615,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739372.463824034,-0.114053,0.176569,0.638795,0.015678,,,,,0.009279,0.000000,0.000000,0.943,1.008
1,1,4.8810,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,1,1783739372.561777830,-0.110908,0.179566,0.638902,0.022764,0.0043120,0.0001068,0.0247695,0.0068734,0.013591,0.000000,0.000000,0.943,1.008
1,1,4.8981,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739372.561777830,-0.110908,0.179566,0.638902,0.022764,,,,,0.013591,0.000000,0.000000,0.943,1.008
1,1,4.9199,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739372.561777830,-0.110908,0.179566,0.638902,0.022764,,,,,0.013591,0.000000,0.000000,0.943,1.008
1,1,4.9415,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739372.561777830,-0.110908,0.179566,0.638902,0.022764,,,,,0.013591,0.000000,0.000000,0.943,1.008
1,1,4.9631,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739372.561777830,-0.110908,0.179566,0.638902,0.022764,,,,,0.013591,0.000000,0.000000,0.949,1.003
1,1,4.9820,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,1,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,0.0073813,0.0000581,0.0078708,0.0021842,0.020972,0.000000,0.000000,0.949,1.003
1,1,4.9917,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,,,,,0.020972,0.000000,0.000000,0.949,1.003
1,1,5.0133,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,,,,,0.020972,0.000000,0.000000,0.949,1.003
1,1,5.0349,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,,,,,0.020972,0.000000,0.000000,0.949,1.003
1,1,5.0564,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,,,,,0.020972,0.000000,0.000000,0.949,1.003
1,1,5.0779,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739372.662155867,-0.104282,0.183024,0.638960,0.035457,,,,,0.020972,0.000000,0.000000,0.959,0.997
1,1,5.0825,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,1,1783739372.762928963,-0.099790,0.186672,0.641656,0.040935,0.0057812,0.0026964,0.4663996,0.1287104,0.026753,0.000000,0.000000,0.959,0.997
1,1,5.0984,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739372.762928963,-0.099790,0.186672,0.641656,0.040935,,,,,0.026753,0.000000,0.000000,0.959,0.997
1,1,5.1200,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739372.762928963,-0.099790,0.186672,0.641656,0.040935,,,,,0.026753,0.000000,0.000000,0.959,0.997
1,1,5.1415,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739372.762928963,-0.099790,0.186672,0.641656,0.040935,,,,,0.026753,0.000000,0.000000,0.959,0.997
1,1,5.1630,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739372.762928963,-0.099790,0.186672,0.641656,0.040935,,,,,0.026753,0.000000,0.000000,0.974,0.984
1,1,5.1830,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,1,1783739372.863547564,-0.086913,0.195763,0.644692,0.069850,0.0157566,0.0030361,0.1926852,0.0534193,0.042510,0.000000,0.000000,0.974,0.984
1,1,5.1983,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739372.863547564,-0.086913,0.195763,0.644692,0.069850,,,,,0.042510,0.000000,0.000000,0.974,0.984
1,1,5.2200,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739372.863547564,-0.086913,0.195763,0.644692,0.069850,,,,,0.042510,0.000000,0.000000,0.974,0.984
1,1,5.2415,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739372.863547564,-0.086913,0.195763,0.644692,0.069850,,,,,0.042510,0.000000,0.000000,0.974,0.984
1,1,5.2632,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739372.863547564,-0.086913,0.195763,0.644692,0.069850,,,,,0.042510,0.000000,0.000000,0.997,0.965
1,1,5.2836,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.681,1143,1,1783739372.964013338,-0.066530,0.210440,0.648116,0.114874,0.0251109,0.0034236,0.1363407,0.0378165,0.067621,0.000000,0.000000,0.997,0.965
1,1,5.2950,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.681,1143,0,1783739372.964013338,-0.066530,0.210440,0.648116,0.114874,,,,,0.067621,0.000000,0.000000,0.997,0.965
1,1,5.3167,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.681,1143,0,1783739372.964013338,-0.066530,0.210440,0.648116,0.114874,,,,,0.067621,0.000000,0.000000,0.997,0.965
1,1,5.3383,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.681,1143,0,1783739372.964013338,-0.066530,0.210440,0.648116,0.114874,,,,,0.067621,0.000000,0.000000,0.997,0.965
1,1,5.3598,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.681,1143,0,1783739372.964013338,-0.066530,0.210440,0.648116,0.114874,,,,,0.067621,0.000000,0.000000,1.021,0.942
1,1,5.3813,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,1,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,0.0246141,0.0032696,0.1328355,0.0368452,0.092235,0.024614,0.003270,1.021,0.942
1,1,5.3920,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,0,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,,,,,0.092235,0.024614,0.003270,1.021,0.942
1,1,5.4137,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,0,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,,,,,0.092235,0.024614,0.003270,1.021,0.942
1,1,5.4352,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,0,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,,,,,0.092235,0.024614,0.003270,1.021,0.942
1,1,5.4568,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,0,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,,,,,0.092235,0.024614,0.003270,1.021,0.942
1,1,5.4783,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.331,1144,0,1783739373.064520121,-0.046710,0.225039,0.651385,0.147380,,,,,0.092235,0.024614,0.003270,1.047,0.917
1,1,5.4818,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.833,1144,1,1783739373.162343025,-0.028837,0.241543,0.653897,0.172438,0.0242221,0.0025115,0.1036849,0.0287646,0.116457,0.048836,0.005781,1.047,0.917
1,1,5.4979,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.833,1144,0,1783739373.162343025,-0.028837,0.241543,0.653897,0.172438,,,,,0.116457,0.048836,0.005781,1.047,0.917
1,1,5.5195,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.833,1144,0,1783739373.162343025,-0.028837,0.241543,0.653897,0.172438,,,,,0.116457,0.048836,0.005781,1.047,0.917
1,1,5.5411,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.833,1144,0,1783739373.162343025,-0.028837,0.241543,0.653897,0.172438,,,,,0.116457,0.048836,0.005781,1.047,0.917
1,1,5.5629,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.833,1144,0,1783739373.162343025,-0.028837,0.241543,0.653897,0.172438,,,,,0.116457,0.048836,0.005781,1.069,0.892
1,1,5.5820,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,1,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,0.0222178,0.0010883,0.0489821,0.0135917,0.138675,0.071054,0.006869,1.069,0.892
1,1,5.5932,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,0,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,,,,,0.138675,0.071054,0.006869,1.069,0.892
1,1,5.6152,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,0,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,,,,,0.138675,0.071054,0.006869,1.069,0.892
1,1,5.6370,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,0,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,,,,,0.138675,0.071054,0.006869,1.069,0.892
1,1,5.6586,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,0,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,,,,,0.138675,0.071054,0.006869,1.069,0.892
1,1,5.6801,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.075,1144,0,1783739373.262861729,-0.011589,0.255563,0.654985,0.184587,,,,,0.138675,0.071054,0.006869,1.092,0.872
1,1,5.6827,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,1,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,0.0229529,0.0018786,0.0818475,0.0227088,0.161628,0.094007,0.008748,1.092,0.872
1,1,5.6934,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,0,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,,,,,0.161628,0.094007,0.008748,1.092,0.872
1,1,5.7152,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,0,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,,,,,0.161628,0.094007,0.008748,1.092,0.872
1,1,5.7369,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,0,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,,,,,0.161628,0.094007,0.008748,1.092,0.872
1,1,5.7587,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,0,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,,,,,0.161628,0.094007,0.008748,1.092,0.872
1,1,5.7802,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.295,1145,0,1783739373.363286972,0.006894,0.269179,0.656864,0.195579,,,,,0.161628,0.094007,0.008748,1.112,0.851
1,1,5.7832,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.275,1145,1,1783739373.463833570,0.022367,0.280634,0.660455,0.194540,0.0192470,0.0035917,0.1866096,0.0517379,0.180875,0.113254,0.012340,1.112,0.851
1,1,5.8027,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.275,1145,0,1783739373.463833570,0.022367,0.280634,0.660455,0.194540,,,,,0.180875,0.113254,0.012340,1.112,0.851
1,1,5.8243,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.275,1145,0,1783739373.463833570,0.022367,0.280634,0.660455,0.194540,,,,,0.180875,0.113254,0.012340,1.112,0.851
1,1,5.8458,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.275,1145,0,1783739373.463833570,0.022367,0.280634,0.660455,0.194540,,,,,0.180875,0.113254,0.012340,1.112,0.851
1,1,5.8673,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.275,1145,0,1783739373.463833570,0.022367,0.280634,0.660455,0.194540,,,,,0.180875,0.113254,0.012340,1.128,0.833
1,1,5.8837,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,1,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,0.0167624,0.0032351,0.1929975,0.0535057,0.197637,0.130016,0.015575,1.128,0.833
1,1,5.8959,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,0,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,,,,,0.197637,0.130016,0.015575,1.128,0.833
1,1,5.9175,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,0,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,,,,,0.197637,0.130016,0.015575,1.128,0.833
1,1,5.9391,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,0,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,,,,,0.197637,0.130016,0.015575,1.128,0.833
1,1,5.9606,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,0,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,,,,,0.197637,0.130016,0.015575,1.128,0.833
1,1,5.9823,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.136,1144,0,1783739373.564305305,0.036664,0.289558,0.663691,0.187614,,,,,0.197637,0.130016,0.015575,1.143,0.817
1,1,5.9849,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.896,1144,1,1783739373.664750338,0.048464,0.297248,0.666472,0.175632,0.0140306,0.0027817,0.1982579,0.0549612,0.211668,0.144047,0.018356,1.143,0.817
1,1,5.9966,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.896,1144,0,1783739373.664750338,0.048464,0.297248,0.666472,0.175632,,,,,0.211668,0.144047,0.018356,1.143,0.817
