condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,valid
1,1,1450.0,increasing,1420.0,forward,0.2,0.39091914619771434,0.028483067645610927,0.07286178720753961,0.02021639133668136,26,True
1,2,1450.0,increasing,1420.0,reverse,-0.2,-0.2561261759772485,0.0004706283387768686,-0.0018374862974515893,-0.0005099024033511915,15,True
2,3,1450.0,decreasing,1480.0,forward,0.2,0.407796916730696,0.004024010889715712,0.0098676834586592,0.0027382753157561587,26,True
2,4,1450.0,decreasing,1480.0,reverse,-0.2,-0.3461594824239539,0.016962436269793324,-0.049001795793705345,-0.0135971603105648,16,True
3,5,1300.0,increasing,1270.0,forward,0.2,0.21481443519274734,-0.09417550232800409,-0.4384039752426455,-0.12106218398279962,15,True
3,6,1300.0,increasing,1270.0,reverse,-0.2,-0.3413233584349351,0.17611384983610467,-0.5159736229118244,-0.1422160668051514,17,True
4,7,1300.0,decreasing,1330.0,forward,0.2,0.3185839912730096,-0.1538150820028068,-0.4828085723585383,-0.1331862393518164,21,True
4,8,1300.0,decreasing,1330.0,reverse,-0.2,-0.3282591007122118,0.17362268811082482,-0.5289196483330454,-0.14573462910090634,19,True
5,9,1600.0,increasing,1570.0,forward,0.2,0.40911988947752065,0.20669807546047814,0.5052261715372685,0.1392923489873538,24,True
5,10,1600.0,increasing,1570.0,reverse,-0.2,-0.3176290141127161,-0.1384831748017088,0.43599031778805214,0.12040210974668901,22,True
6,11,1600.0,decreasing,1630.0,forward,0.2,0.3946982254557061,0.20904496282663754,0.5296323858190161,0.14592823723800885,23,True
6,12,1600.0,decreasing,1630.0,reverse,-0.2,-0.3223760053321359,-0.1476263967338899,0.4579323345786673,0.12639875040473325,19,True
