condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3514,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739569.384855986,-0.156248,-0.127167,0.814939,0.007909,,,,,0.000000,0.000000,0.000000,0.722,1.242
1,1,4.3733,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739569.384855986,-0.156248,-0.127167,0.814939,0.007909,,,,,0.000000,0.000000,0.000000,0.722,1.242
1,1,4.3949,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739569.384855986,-0.156248,-0.127167,0.814939,0.007909,,,,,0.000000,0.000000,0.000000,0.722,1.242
1,1,4.4165,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739569.384855986,-0.156248,-0.127167,0.814939,0.007909,,,,,0.000000,0.000000,0.000000,0.722,1.242
1,1,4.4381,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,0,1783739569.384855986,-0.156248,-0.127167,0.814939,0.007909,,,,,0.000000,0.000000,0.000000,0.722,1.241
1,1,4.4411,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1,1783739569.485407591,-0.159562,-0.127562,0.814792,-0.000436,-0.0025613,-0.0001473,0.0575046,0.0159562,0.002561,0.000000,0.000000,0.722,1.241
1,1,4.4576,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739569.485407591,-0.159562,-0.127562,0.814792,-0.000436,,,,,0.002561,0.000000,0.000000,0.722,1.241
1,1,4.4794,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739569.485407591,-0.159562,-0.127562,0.814792,-0.000436,,,,,0.002561,0.000000,0.000000,0.722,1.241
1,1,4.5009,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739569.485407591,-0.159562,-0.127562,0.814792,-0.000436,,,,,0.002561,0.000000,0.000000,0.722,1.241
1,1,4.5225,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,0,1783739569.485407591,-0.159562,-0.127562,0.814792,-0.000436,,,,,0.002561,0.000000,0.000000,0.724,1.241
1,1,4.5388,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,0.0018495,-0.0009956,-0.5383153,-0.1482860,0.004411,0.000000,0.000000,0.724,1.241
1,1,4.5510,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.724,1.241
1,1,4.5727,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.724,1.241
1,1,4.5942,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.724,1.241
1,1,4.6160,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.724,1.241
1,1,4.6378,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.726,1.239
1,1,4.6399,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,0,1783739569.585946798,-0.156656,-0.127762,0.813796,0.004272,,,,,0.004411,0.000000,0.000000,0.726,1.239
1,1,4.6620,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,1,1783739569.683796406,-0.159221,-0.127036,0.815150,0.000057,-0.0012315,0.0013537,-1.0992643,-0.2960796,0.005642,0.000000,0.000000,0.726,1.239
1,1,4.6638,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739569.683796406,-0.159221,-0.127036,0.815150,0.000057,,,,,0.005642,0.000000,0.000000,0.726,1.239
1,1,4.6855,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739569.683796406,-0.159221,-0.127036,0.815150,0.000057,,,,,0.005642,0.000000,0.000000,0.726,1.239
1,1,4.7071,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739569.683796406,-0.159221,-0.127036,0.815150,0.000057,,,,,0.005642,0.000000,0.000000,0.726,1.239
1,1,4.7287,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1419.664,1145,0,1783739569.683796406,-0.159221,-0.127036,0.815150,0.000057,,,,,0.005642,0.000000,0.000000,0.725,1.238
1,1,4.7399,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,1,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,-0.0007552,-0.0000871,0.1153317,0.0319936,0.006397,0.000000,0.000000,0.725,1.238
1,1,4.7525,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,,,,,0.006397,0.000000,0.000000,0.725,1.238
1,1,4.7741,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,,,,,0.006397,0.000000,0.000000,0.725,1.238
1,1,4.7956,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,,,,,0.006397,0.000000,0.000000,0.725,1.238
1,1,4.8173,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,,,,,0.006397,0.000000,0.000000,0.725,1.238
1,1,4.8392,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1418.424,1144,0,1783739569.784068346,-0.159981,-0.127357,0.815063,-0.001840,,,,,0.006397,0.000000,0.000000,0.726,1.238
1,1,4.8414,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,1,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,0.0021105,-0.0003661,-0.1734639,-0.0480991,0.008508,0.000000,0.000000,0.726,1.238
1,1,4.8515,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,,,,,0.008508,0.000000,0.000000,0.726,1.238
1,1,4.8733,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,,,,,0.008508,0.000000,0.000000,0.726,1.238
1,1,4.8949,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,,,,,0.008508,0.000000,0.000000,0.726,1.238
1,1,4.9167,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,,,,,0.008508,0.000000,0.000000,0.726,1.238
1,1,4.9382,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1415.324,1141,0,1783739569.884830713,-0.157815,-0.126498,0.814697,0.003857,,,,,0.008508,0.000000,0.000000,0.726,1.239
1,1,4.9411,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,1,1783739569.985633135,-0.159387,-0.125100,0.815125,0.002740,-0.0000616,0.0004283,-6.9513514,-1.0925347,0.008570,0.000000,0.000000,0.726,1.239
1,1,4.9579,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739569.985633135,-0.159387,-0.125100,0.815125,0.002740,,,,,0.008570,0.000000,0.000000,0.726,1.239
1,1,4.9795,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739569.985633135,-0.159387,-0.125100,0.815125,0.002740,,,,,0.008570,0.000000,0.000000,0.726,1.239
1,1,5.0011,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739569.985633135,-0.159387,-0.125100,0.815125,0.002740,,,,,0.008570,0.000000,0.000000,0.726,1.239
1,1,5.0226,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1412.224,1139,0,1783739569.985633135,-0.159387,-0.125100,0.815125,0.002740,,,,,0.008570,0.000000,0.000000,0.734,1.235
1,1,5.0386,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,1,1783739570.086150169,-0.152896,-0.120855,0.814092,0.020814,0.0075424,-0.0010334,-0.1370087,-0.0380016,0.016112,0.000000,0.000000,0.734,1.235
1,1,5.0540,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739570.086150169,-0.152896,-0.120855,0.814092,0.020814,,,,,0.016112,0.000000,0.000000,0.734,1.235
1,1,5.0758,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739570.086150169,-0.152896,-0.120855,0.814092,0.020814,,,,,0.016112,0.000000,0.000000,0.734,1.235
1,1,5.0974,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739570.086150169,-0.152896,-0.120855,0.814092,0.020814,,,,,0.016112,0.000000,0.000000,0.734,1.235
1,1,5.1189,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1409.124,1136,0,1783739570.086150169,-0.152896,-0.120855,0.814092,0.020814,,,,,0.016112,0.000000,0.000000,0.743,1.227
1,1,5.1391,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,1,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,0.0090363,-0.0011770,-0.1302483,-0.0361282,0.025148,0.000000,0.000000,0.743,1.227
1,1,5.1526,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,,,,,0.025148,0.000000,0.000000,0.743,1.227
1,1,5.1744,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,,,,,0.025148,0.000000,0.000000,0.743,1.227
1,1,5.1960,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,,,,,0.025148,0.000000,0.000000,0.743,1.227
1,1,5.2175,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,,,,,0.025148,0.000000,0.000000,0.758,1.214
1,1,5.2400,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1406.024,1134,0,1783739570.183576822,-0.148919,-0.112180,0.812915,0.038798,,,,,0.025148,0.000000,0.000000,0.758,1.214
1,1,5.2414,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,1,1783739570.284153938,-0.140395,-0.096316,0.814423,0.072310,0.0173843,0.0015081,0.0867507,0.0240687,0.042533,0.000000,0.000000,0.758,1.214
1,1,5.2578,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739570.284153938,-0.140395,-0.096316,0.814423,0.072310,,,,,0.042533,0.000000,0.000000,0.758,1.214
1,1,5.2795,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739570.284153938,-0.140395,-0.096316,0.814423,0.072310,,,,,0.042533,0.000000,0.000000,0.758,1.214
1,1,5.3011,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739570.284153938,-0.140395,-0.096316,0.814423,0.072310,,,,,0.042533,0.000000,0.000000,0.758,1.214
1,1,5.3228,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1419.384,1145,0,1783739570.284153938,-0.140395,-0.096316,0.814423,0.072310,,,,,0.042533,0.000000,0.000000,0.780,1.195
1,1,5.3406,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.629,1143,1,1783739570.384947300,-0.122617,-0.080929,0.818706,0.112241,0.0233878,0.0042829,0.1831243,0.0507733,0.065920,0.000000,0.000000,0.780,1.195
1,1,5.3550,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.629,1143,0,1783739570.384947300,-0.122617,-0.080929,0.818706,0.112241,,,,,0.065920,0.000000,0.000000,0.780,1.195
1,1,5.3766,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.629,1143,0,1783739570.384947300,-0.122617,-0.080929,0.818706,0.112241,,,,,0.065920,0.000000,0.000000,0.780,1.195
1,1,5.3982,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.629,1143,0,1783739570.384947300,-0.122617,-0.080929,0.818706,0.112241,,,,,0.065920,0.000000,0.000000,0.780,1.195
1,1,5.4197,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1417.629,1143,0,1783739570.384947300,-0.122617,-0.080929,0.818706,0.112241,,,,,0.065920,0.000000,0.000000,0.803,1.169
1,1,5.4386,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.254,1144,1,1783739570.485439539,-0.103159,-0.066454,0.823064,0.143525,0.0238544,0.0043581,0.1826968,0.0506550,0.089775,0.023854,0.004358,0.803,1.169
1,1,5.4514,rolling,0.2000,forward,1450.000,1169,increasing,1420.000,1418.254,1144,0,1783739570.485439539,-0.103159,-0.066454,0.823064,0.143525,,,,,0.089775,0.023854,0.004358,0.803,1.169
