condition,leg,pulse_us,approach,prior_us,direction,target_speed_mps,signed_distance_m,heading_change_rad,curvature_1pm,effective_angle_rad,samples,valid
1,1,1450.0,increasing,1420.0,forward,0.2,0.30891286602293383,0.016028456552784287,0.051886659041240214,0.014397552980778558,20,True
1,2,1450.0,increasing,1420.0,reverse,-0.2,-0.3464522721956724,0.011181508279306307,-0.0322743107108015,-0.008955881770652497,18,True
2,3,1450.0,decreasing,1480.0,forward,0.2,0.2592584654560528,0.01121300201531128,0.04325028305473793,0.012001377316134909,13,True
2,4,1450.0,decreasing,1480.0,reverse,-0.2,-0.3788634539607258,0.020201282111871777,-0.05332074630234963,-0.014795427408299934,21,True
3,5,1230.0,increasing,1200.0,forward,0.2,0.27618952651458656,-0.17597066998262534,-0.6371373752050359,-0.17499709529412158,13,True
3,6,1230.0,increasing,1200.0,reverse,-0.2,-0.2432971560438781,0.16939527270335508,-0.6962484702155952,-0.1908572587641831,17,True
4,7,1230.0,decreasing,1260.0,forward,0.2,0.24513942655501617,-0.18672479052416968,-0.7617085229750401,-0.20830790599587645,15,True
4,8,1230.0,decreasing,1260.0,reverse,-0.2,-0.3761339390100641,0.27863404930403846,-0.7407841207772085,-0.2027432384095792,24,True
5,9,1670.0,increasing,1640.0,forward,0.2,0.3003381740463194,0.2182595678413003,0.7267127082141726,0.19899387099091292,20,True
5,10,1670.0,increasing,1640.0,reverse,-0.2,-0.39488845363640157,-0.270343344140068,0.6846068596094986,0.18774110244073267,22,True
6,11,1670.0,decreasing,1700.0,forward,0.2,0.2524004506714034,0.20188274401847162,0.799850964930724,0.21841775614367434,15,True
6,12,1670.0,decreasing,1700.0,reverse,-0.2,-0.33479357914960234,-0.234223985463464,0.6996071611003064,0.19175559870371917,16,True
