condition,leg,elapsed_s,phase,target_speed_mps,vehicle_direction,steering_pulse_us,steering_tick,approach_direction,prior_steering_pulse_us,esc_pulse_us,esc_tick,adaptive_feedforward_us,integral_trim_us,controller_state,fresh_odom,tf_stamp,x_m,y_m,yaw_rad,measured_speed_mps,increment_ds_m,increment_dyaw_rad,instant_curvature_1pm,effective_angle_rad,leg_motion_m,settled_signed_distance_m,settled_heading_change_rad,front_clearance_m,rear_clearance_m
1,1,4.3530,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,1419.384,0.000,startup,0,1783739994.089074135,-0.646661,0.302856,0.060074,0.004432,,,,,0.000000,0.000000,0.000000,1.434,1.434
1,1,4.3747,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1423.384,1148,1419.384,0.000,startup,0,1783739994.089074135,-0.646661,0.302856,0.060074,0.004432,,,,,0.000000,0.000000,0.000000,1.434,1.434
1,1,4.3823,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1419.384,0.000,startup,1,1783739994.186927080,-0.645528,0.302044,0.059470,0.006090,0.0010828,-0.0006032,-0.5570624,-0.1533708,0.001083,0.000000,0.000000,1.434,1.434
1,1,4.3963,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1419.384,0.000,startup,0,1783739994.186927080,-0.645528,0.302044,0.059470,0.006090,,,,,0.001083,0.000000,0.000000,1.434,1.434
1,1,4.4180,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1419.384,0.000,startup,0,1783739994.186927080,-0.645528,0.302044,0.059470,0.006090,,,,,0.001083,0.000000,0.000000,1.434,1.434
1,1,4.4396,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1419.384,0.000,startup,0,1783739994.186927080,-0.645528,0.302044,0.059470,0.006090,,,,,0.001083,0.000000,0.000000,1.434,1.434
1,1,4.4612,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1422.144,1147,1419.384,0.000,startup,0,1783739994.186927080,-0.645528,0.302044,0.059470,0.006090,,,,,0.001083,0.000000,0.000000,1.436,1.434
1,1,4.4825,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1419.384,0.000,startup,1,1783739994.287422419,-0.646062,0.302640,0.059873,0.003330,-0.0004975,0.0004030,-0.8099907,-0.2210978,0.001580,0.000000,0.000000,1.436,1.434
1,1,4.4913,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1419.384,0.000,startup,0,1783739994.287422419,-0.646062,0.302640,0.059873,0.003330,,,,,0.001580,0.000000,0.000000,1.436,1.434
1,1,4.5130,startup,0.2000,forward,1450.000,1169,increasing,1420.000,1420.904,1146,1419.384,0.000,startup,0,1783739994.287422419,-0.646062,0.302640,0.059873,0.003330,,,,,0.001580,0.000000,0.000000,1.436,1.434
